,Name,Price,Producer,MPN,EAN,UPC,Form Factor,Size,RPM,Cache,Product Page
194,Western Digital Blue 3 TB,$80.04 USD,Western Digital,WD30EZRZ,718037840154,718037840154.0,"3.5""",3 TB,5400.0,64.0,https://www.amazon.ca/dp/B013HNYV42?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
195,Western Digital Blue 4 TB,$122.23 USD,Western Digital,WD40EZRZ,718037840161,718037840161.0,"3.5""",4 TB,5400.0,64.0,https://www.amazon.ca/dp/B013HNYV8I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
196,Western Digital Blue 6 TB,$137.81 USD,Western Digital,WD60EZAZ,718037855684,,"3.5""",6 TB,5400.0,256.0,https://www.amazon.ca/WD-Blue-6TB-Hard-Drive/dp/B07MYKZGVX?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MYKZGVX
197,Western Digital Gold 1 TB,$87.02 USD,Western Digital,WD1005FBYZ,718037820132,718037820132.0,"3.5""",1 TB,7200.0,128.0,https://www.amazon.ca/dp/B01IY9USY6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
198,Western Digital Gold 10 TB,$235.73 USD,Western Digital,WD102KRYZ,718037872681,,"3.5""",10 TB,7200.0,256.0,https://www.amazon.ca/dp/B07XDD5MV8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
199,Western Digital Gold 12 TB,$282.87 USD,Western Digital,WD121KRYZ,718037854519,,"3.5""",12 TB,7200.0,256.0,https://www.amazon.ca/dp/B075L6FJH8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
200,Western Digital Gold 14 TB,$315.52 USD,Western Digital,WD141KRYZ,718037872674,,"3.5""",14 TB,7200.0,512.0,https://www.amazon.ca/dp/B07XC95Y28?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
202,Western Digital Gold 2 TB,$115.32 USD,Western Digital,WD2005FBYZ,718037847924,718037847924.0,"3.5""",2 TB,7200.0,128.0,https://www.amazon.ca/dp/B01IY9UTMM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
203,Western Digital Gold 4 TB,$154.48 USD,Western Digital,WD4003FRYZ,718037858098,,"3.5""",4 TB,7200.0,256.0,https://www.amazon.ca/dp/B07XDD6GD3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
204,Western Digital Gold 6 TB,$192.2 USD,Western Digital,WD6003FRYZ,718037855936,,"3.5""",6 TB,7200.0,256.0,https://www.amazon.ca/dp/B07XHCT33G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
205,Western Digital Gold 8 TB,$217.59 USD,Western Digital,WD8004FRYZ,718037858371,,"3.5""",8 TB,7200.0,256.0,https://www.amazon.ca/dp/B07XGDNZXT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
206,"Western Digital Gold, Intellipower",$233.85 USD,Western Digital,WD6002FRYZ,718037845470,,"3.5""",6 TB,7.2,128.0,https://www.amazon.ca/Western-Digital-Enterprise-Class-Drive/dp/B01AV168FS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AV168FS
207,"Western Digital Gold, Intellipower",$316.51 USD,Western Digital,WD8003FRYZ,718037858104,718037858104.0,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/WESTERN-DIGITAL-Enterprise-Class-Drive/dp/B074WH5NPT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074WH5NPT
208,"Western Digital Gold, Intellipower",$413.22 USD,Western Digital,WD101KRYZ,718037847733,718037847733.0,"3.5""",10 TB,7.2,256.0,https://www.amazon.ca/Gold-10TB-Datacenter-Hard-Drive/dp/B01IWCMS5M?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01IWCMS5M
209,Western Digital Purple 8 TB,$188.97 USD,Western Digital,WD84PURZ,718037887906,,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/dp/B08XNL4CRM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
210,"Western Digital Purple, Intellipower",$270.51 USD,Western Digital,WD100PURZ,718037856087,718037856087.0,"3.5""",10 TB,5.4,256.0,https://www.amazon.ca/Western-Digital-Surveillance-3-5-Inch-Internal/dp/B06XRRT1PJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XRRT1PJ
212,Western Digital Red 1 TB,$50.77 USD,Western Digital,WD10EFRX,718037799650,718037799650.0,"3.5""",1 TB,5400.0,64.0,https://www.amazon.ca/dp/B008JJLXO6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
213,Western Digital Red 1 TB,$90.82 USD,Western Digital,WD10JFCX,718037804149,718037804149.0,"3.5""",1 TB,5400.0,16.0,https://www.amazon.ca/dp/B00EHBES1U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
214,Western Digital Red 10 TB,$259.39 USD,Western Digital,WD101EFAX,718037866758,,"3.5""",10 TB,5.4,256.0,https://www.amazon.ca/dp/B083JXTH5L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
215,Western Digital Red 10 TB,$327.86 USD,Western Digital,WD100EFAX,718037847689,,"3.5""",10 TB,5400.0,256.0,https://www.amazon.ca/dp/B0719498XY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
216,Western Digital Red 12 TB,$297.94 USD,Western Digital,WD120EFAX,718037866260,,"3.5""",12 TB,5400.0,256.0,https://www.amazon.ca/dp/B07RQ99XJH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
217,Western Digital Red 14 TB,$457.18 USD,Western Digital,WD140EFFX,718037872841,,"3.5""",14 TB,5400.0,512.0,https://www.amazon.ca/dp/B07YFGMZVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
218,Western Digital Red 2 TB,$54.42 USD,Western Digital,WD20EFAX,718037858135,,"3.5""",2 TB,5400.0,256.0,https://www.amazon.ca/dp/B07PGWXQCM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
219,Western Digital Red 2 TB,$72.53 USD,Western Digital,WD20EFRX,718037799667,718037799667.0,"3.5""",2 TB,5400.0,64.0,https://www.amazon.ca/Sata-64mb-Intellipower-Years-Warranty/dp/B008RAWX0U?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B008RAWX0U
220,Western Digital Red 3 TB,$61.65 USD,Western Digital,WD30EFAX,718037861074,,"3.5""",3 TB,5400.0,256.0,https://www.amazon.ca/dp/B083XVD1FP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
221,Western Digital Red 3 TB,$89.93 USD,Western Digital,WD30EFRX,718037799674,,"3.5""",3 TB,5400.0,64.0,https://www.amazon.ca/dp/B008JJLW4M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
222,Western Digital Red 4 TB,$84.22 USD,Western Digital,WD40EFAX,718037861036,,"3.5""",4 TB,5400.0,256.0,https://www.amazon.ca/dp/B083XVY99B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
223,Western Digital Red 4 TB,$116.05 USD,Western Digital,WD40EFRX,718037810058,718037810058.0,"3.5""",4 TB,5400.0,64.0,https://www.amazon.ca/Western-Digital-3-5-Inch-Drive-WD40EFRX/dp/B00EHBERSE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00EHBERSE
224,Western Digital Red 6 TB,$101.55 USD,Western Digital,WD60EFAX,718037860947,,"3.5""",6 TB,5400.0,256.0,https://www.amazon.ca/dp/B07MYL7KVK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
225,Western Digital Red 8 TB,$217.61 USD,Western Digital,WD80EFAX,718037854694,718037854694.0,"3.5""",8 TB,5400.0,256.0,https://www.amazon.ca/dp/B07D3MWMNZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
226,Western Digital Red Plus 8 TB,$168.11 USD,Western Digital,WD80EFZZ,718037896755,,"3.5""",8 TB,5.64,128.0,https://www.amazon.ca/dp/B09QQX27GM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
227,Western Digital Red Plus 10 TB,$199.47 USD,Western Digital,WD101EFBX,718037886206,,"3.5""",10 TB,7.2,256.0,https://www.amazon.ca/dp/B08TZPS4QQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
228,Western Digital Red Plus 12 TB,$228.49 USD,Western Digital,WD120EFBX,718037886190,,"3.5""",12 TB,7.2,256.0,https://www.amazon.ca/dp/B08V1L1WYD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
229,Western Digital Red Plus 14 TB,$297.4 USD,Western Digital,WD140EFGX,718037886183,,"3.5""",14 TB,7.2,512.0,https://www.amazon.ca/dp/B08V13TGP4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
230,Western Digital Red Plus 2 TB,$54.4 USD,Western Digital,WD20EFZX,718037884370,,"3.5""",2 TB,5.4,128.0,https://www.amazon.ca/dp/B08VH891FS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
231,Western Digital Red Plus 3 TB,$65.28 USD,Western Digital,WD30EFZX,718037884387,,"3.5""",3 TB,5.4,128.0,https://www.amazon.ca/dp/B08VH9NDV7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
232,Western Digital Red Plus 4 TB,$79.78 USD,Western Digital,WD40EFZX,718037884394,,"3.5""",4 TB,5.4,128.0,https://www.amazon.ca/dp/B08VH8C3WZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
233,Western Digital Red Plus 6 TB,$104.44 USD,Western Digital,WD60EFZX,718037821542,,"3.5""",6 TB,5.64,128.0,https://www.amazon.ca/dp/B08TZYBMMC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
234,Western Digital Red Plus 8 TB,$169.0 USD,Western Digital,WD80EFBX,718037886213,,"3.5""",8 TB,7.2,256.0,https://www.amazon.ca/dp/B08TZT47VT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
235,Western Digital Red Pro 10 TB,$35.49 USD,Western Digital,WD101KFBX,718037847719,718037847719.0,"3.5""",10 TB,7200.0,256.0,https://www.amazon.ca/dp/B072LX5HDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
236,Western Digital Red Pro 10 TB,$235.73 USD,Western Digital,WD102KFBX,718037866796,,"3.5""",10 TB,7200.0,256.0,https://www.amazon.ca/dp/B084F34HZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
237,Western Digital Red Pro 12 TB,$257.49 USD,Western Digital,WD121KFBX,718037866246,,"3.5""",12 TB,7200.0,256.0,https://www.amazon.ca/dp/B07RTMPWD8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
238,Western Digital Red Pro 14 TB,$297.38 USD,Western Digital,WD141KFGX,718037872858,,"3.5""",14 TB,7.2,512.0,https://www.amazon.ca/dp/B07YFGW736?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
239,Western Digital Red Pro 16 TB,$319.14 USD,Western Digital,WD161KFGX,718037877662,,"3.5""",16 TB,7.2,512.0,https://www.amazon.ca/dp/B08K3VVKSW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
240,Western Digital Red Pro 18 TB,$326.4 USD,Western Digital,WD181KFGX,718037875729,,"3.5""",18 TB,7.2,512.0,https://www.amazon.ca/dp/B08K3TFM92?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
241,Western Digital Red Pro 2 TB,$79.78 USD,Western Digital,WD2002FFSX,718037835570,718037835570.0,"3.5""",2 TB,7200.0,64.0,https://www.amazon.ca/dp/B01FYXPGT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
242,Western Digital Red Pro 4 TB,$147.95 USD,Western Digital,WD4003FFBX,718037855967,718037855967.0,"3.5""",4 TB,7200.0,256.0,https://www.amazon.ca/dp/B07B1WK3N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
243,Western Digital Red Pro 6 TB,$195.11 USD,Western Digital,WD6003FFBX,718037855943,718037855943.0,"3.5""",6 TB,7200.0,256.0,https://www.amazon.ca/dp/B07B1HX5KN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
244,Western Digital Red Pro 8 TB,$215.68 USD,Western Digital,WD8003FFBX,718037858425,,"3.5""",8 TB,7200.0,256.0,https://www.amazon.ca/dp/B07D3N95GS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
245,"Western Digital Red, Intellipower",$196.09 USD,Western Digital,WD60EFRX,718037827582,718037827582.0,"3.5""",6 TB,5.4,64.0,https://www.amazon.ca/dp/B00LO3KR96?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
