,Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Product Page
203,"ASRock B450 Pro 4, AMD B450",$87.04 USD,ASRock,90-MXB8B0-A0UAYZ,4717677336252,,AM4,B450,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07FVYKJHR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
204,ASRock B450 Steel Legend,$114.2 USD,ASRock,90-MXBA00-A0UAYZ,4717677338065,,AM4,B450,True,ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B07MV7LR1B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
205,"ASRock B450M Pro4, AMD B450",$117.59 USD,ASRock,90-MXB8F0-A0UAYZ,4717677336276,,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07FVYKFXF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
206,ASRock B450M Pro4-F,$72.53 USD,ASRock,90-MXBAB0-A0UAYZ,4717677338263,,AM4,B450,True,Micro-ATX,DDR4,64 GB,4,4,1,1.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07QXNJHV8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
207,ASRock B450M-HDV,$90.66 USD,ASRock,90-MXB830-A0UAYZ,4717677336207,,AM4,B450,True,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07MWGKHR9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
208,"ASRock B450M-HDV R4.0, AMD B450",$98.77 USD,ASRock,90-MXB9N0-A0UAYZ,4717677337617,,AM4,B450,True,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07MWGKHR9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
214,ASRock B460M-HDV,$80.83 USD,ASRock,90-MXBD30-A0UAYZ,4710483931307,,1200,B460,False,Micro-ATX,DDR4,64 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B088ZWDD54?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
216,ASRock B550 Extreme4,$188.6 USD,ASRock,90-MXBDE0-A0UAYZ,4710483931567,,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B089RBYRD5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
218,ASRock B550 PG Velocita,$214.78 USD,ASRock,90-MXBD90-A0UAYZ,4710483931550,,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B089W55GQJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
219,ASRock B550 Phantom Gaming 4,$97.92 USD,ASRock,90-MXBCY0-A0UAYZ,4710483931499,,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B089VTZ83Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
220,ASRock B550 Phantom Gaming-ITX/ax,$192.22 USD,ASRock,90-MXBD40-A0UAYZ,4710483931611,,AM4,B550,False,Mini-ITX,DDR4,64 GB,2,4,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B089VRZ6JX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
221,ASRock B550 Pro4,$112.43 USD,ASRock,90-MXBCZ0-A0UAYZ,4710483931482,,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B089W2ZTHF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
222,ASRock B550 Steel Legend,$181.99 USD,ASRock,90-MXBDF0-A0UAYZ,4710483931574,,AM4,B550,False,ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B089W8B8VY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
223,ASRock B550 Taichi,$236.78 USD,ASRock,90-MXBD00-A0UAYZ,4710483931642,,AM4,B550,False,ATX,DDR4,128 GB,4,8,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B089RBRJMF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
224,ASRock B550M Pro4,$114.81 USD,ASRock,90-MXBDK0-A0UAYZ,4710483931598,,AM4,B550,False,Micro-ATX,DDR4,128 GB,4,6,1,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B089VY5WVM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
225,ASRock B550M-HDV,$79.78 USD,ASRock,90-MXBDJ0-A0UAYZ,4710483931635,,AM4,B550,False,Micro-ATX,DDR4,64 GB,2,4,1,1.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B089W26FCB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
226,ASRock B550M-ITX/ac,$126.93 USD,ASRock,90-MXBDH0-A0UAYZ,4710483931727,,AM4,B550,False,Mini-ITX,DDR4,64 GB,2,4,0,0.0,0.0,1.0,True,False,https://www.amazon.ca/dp/B089VYCHMG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
238,ASRock B660 Pro RS,$131.51 USD,ASRock,90-MXBHV0-A0UAYZ,4710483936616,,1700,B660,False,ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B09NZLRBNP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
241,ASRock B660M Steel Legend,$133.53 USD,ASRock,90-MXBH30-A0UAYZ,4710483936999,,1700,B660,False,Micro-ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B09QFSBR8X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
242,ASRock B660M-HDV,$87.04 USD,ASRock,90-MXBH40-A0UAYZ,4710483936500,,1700,B660,False,Micro-ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B07MV9BMNY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
247,ASRock C236 WSI 2xLAN/SATA600/USB3.0/DP/HDMI/VGA Mini ITX,$166.83 USD,ASRock,C236 WSI,4717677328837,4717677328837.0,1151,C236,False,Mini-ITX,DDR4, GB,2,,,,,,False,False,https://www.amazon.ca/dp/B01B96248O?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
248,ASRock C236M WS 2xLAN/SATA600/USB3.0/DP/HDMI/VGA,$197.86 USD,ASRock,C236M WS,4717677327717,4717677327717.0,1151,C236,False,Micro-ATX,DDR4, GB,4,,,,,,False,False,https://www.amazon.ca/dp/B01B961X72?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
253,ASRock Fatal1ty AB350 Gaming K4,$108.02 USD,ASRock,90-MXB530-A0UAYZ,4717677333152,,AM4,B350,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-AB350-K4-FATAL1TY-Motherboard/dp/B06WWC7C1D?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WWC7C1D
254,"ASRock Fatal1ty AB350 Gaming-ITX/ac, AMD B350",$124.78 USD,ASRock,90-MXB5P0-A0UAYZ,4717677333732,,AM4,B350,True,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Mini-ITX-Motherboard-AB350-Gaming-ITX/dp/B073BFTJQK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073BFTJQK
261,ASRock Fatal1ty X299 Professional Gaming i9 XE,$455.68 USD,ASRock,90-MXB6H0-A0UAYZ,4717677334531,,2066,X299,True,ATX,DDR4,128 GB,8,10,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-X299-Professional-I9-Motherboard/dp/B076DQF6YZ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076DQF6YZ
262,"ASRock Fatal1ty X370 Gaming-ITX/ac, AMD X370",$148.27 USD,ASRock,90-MXB5N0-A0UAYZ,4717677333725,,AM4,X370,True,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,2.0,False,False,https://www.amazon.ca/dp/B073BGMHH9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
263,"ASRock Fatal1ty X470 Gaming-ITX/ac, AMD X470",$195.84 USD,ASRock,90-MXB7K0-A0UAYZ,4717677335750,,AM4,X470,True,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07CJP25WY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
264,ASRock Fatal1ty X99 Professional Gaming i7,$283.35 USD,ASRock,X99 Professional Gaming i7,4717677331202,,2011-V3,X99,False,ATX,DDR4,128 GB,8,10,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-X99-Motherboard-PROFESSIONAL-GAMING/dp/B01ITOLI1I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01ITOLI1I
268,ASRock Fatal1ty Z270 Gaming K4,$148.26 USD,ASRock,90-MXB3Z0-A0UAYZ,4717677332674,,1151,Z270,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z270-Gaming/dp/B01MT5WRBJ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MT5WRBJ
272,ASRock Fatal1ty Z370 Gaming ITX/ac,$165.49 USD,ASRock,90-MXB670-A0UAYZ,4717677334364,,1151,Z370,True,Mini-ITX,DDR4,32 GB,2,6,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-Gaming-ITX/dp/B0763971VK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0763971VK
273,ASRock Fatal1ty Z370 Gaming K6,$225.94 USD,ASRock,90-MXB5V0-A0UAYZ,4717677334210,,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-K6/dp/B07638HG43?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638HG43
282,ASRock H110 PRO BTC+,$106.35 USD,ASRock,90-MXB5S0-A0UAYZ,4717677333763,,1151,H110,False,ATX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-H110-Mining-Motherboard-Cryptocurrency/dp/B073BX57M1?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073BX57M1
288,ASRock H270M Pro4,$98.85 USD,ASRock,90-MXB3D0-A0UAYZ,4717677332483,,1151,H270,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-H270M-PRO4/dp/B01MQQEWR7?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MQQEWR7
292,ASRock H310M-ITX/AC,$135.65 USD,ASRock,90-MXB7A0-A0UAYZ,4717677335194,,1151,H310,False,Mini-ITX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-H310M-ITX-802-11ac-Retail/dp/B07BMQZWV2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BMQZWV2
295,ASRock H370M Pro4,$97.77 USD,ASRock,90-MXB750-A0UAYZ,4717677335118,,1151,H370,False,Micro-ATX,DDR4,64 GB,4,6,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07BMVTZDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
296,ASRock H370M-ITX/AC,$124.36 USD,ASRock,90-MXB6R0-A0UAYZ,4717677335125,,1151,H370,False,Mini-ITX,DDR4,32 GB,2,6,0,0.0,1.0,2.0,False,False,https://www.amazon.ca/dp/B07BMV3X6N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
297,ASRock H410M-HDV,$66.92 USD,ASRock,90-MXBD60-A0UAYZ,4710483931246,,1200,H410,False,Micro-ATX,DDR4,64 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B0895L5MGN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
309,ASRock H570 Phantom Gaming 4,$76.16 USD,ASRock,90-MXBFX0-A0UAYZ,4710483934056,,1200,H570,False,ATX,DDR4,128 GB,4,6,0,0.0,1.0,1.0,True,False,https://www.amazon.ca/dp/B09JM6QYG1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
313,ASRock H81 PRO BTC R2.0,$81.04 USD,ASRock,90-MXGUP0-A0UAYZ,4717677323368,,1150,H81,False,ATX,DDR3,16 GB,2,2,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-H81-PRO-BTC-R2-0/dp/B01M5FQZYE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M5FQZYE
320,ASRock X299 Gaming i9,$390.21 USD,ASRock,90-MXB5B0-A0UAYZ,4717677333541,,2066,X299,True,ATX,DDR4,128 GB,8,10,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-X299-Professional-I9-Motherboard/dp/B073BFNH8Z?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073BFNH8Z
323,ASRock X299 Taichi,$310.87 USD,ASRock,90-MXB5C0-A0UAYZ,4717677333558,,2066,X299,True,ATX,DDR4,128 GB,8,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-X299-Max-128GB-Express-Motherboard/dp/B072ZTTWFJ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B072ZTTWFJ
324,ASRock X299 Taichi XE,$338.9 USD,ASRock,90-MXB6J0-A0UAYZ,4717677334449,,2066,X299,True,ATX,DDR4,128 GB,8,10,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-X299-XE-CrossFireX-Motherboard/dp/B0766RQ2KG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0766RQ2KG
325,ASRock X299E-ITX/AC,$405.24 USD,ASRock,90-MXB5W0-A0UAYZ,4717677334203,,2066,X299,True,Mini-ITX,"DDR4, SO - DIMM",64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-X299E-ITX-AC-X299-DDR4/dp/B075KJJ93M?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075KJJ93M
328,"ASRock X370 Professional Gaming, AMD X370",$210.45 USD,ASRock,90-MXB4L0-A0UAYZ,4717677333114,,AM4,X370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B06X9MP4ML?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
329,"ASRock X370 Taichi, AMD X370",$163.45 USD,ASRock,90-MXB500-A0UAYZ,4717677333121,,AM4,X370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B06WXX9FDG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
330,"ASRock X470 Fatal1ty Gaming K4, AMD X470",$165.23 USD,ASRock,90-MXB7E0-A0UAYZ,4717677335217,,AM4,X470,True,ATX,DDR4,64 GB,4,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07C1Z3FW9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
332,"ASRock X470 Taichi Ultimate, AMD X470",$304.65 USD,ASRock,90-MXB7H0-A0UAYZ,4717677335484,,AM4,X470,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07C1Z3VPR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
333,"ASRock X470 Taichi, AMD X470",$213.3 USD,ASRock,90-MXB7J0-A0UAYZ,4717677335200,,AM4,X470,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07C1Z4RMT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
335,"ASRock X570 Extreme4, AMD X570",$213.88 USD,ASRock,90-MXBAP0-A0UAYZ,4717677338911,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07TK31ZY7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
337,"ASRock X570 Phantom Gaming 4, AMD X570",$148.69 USD,ASRock,90-MXBAU0-A0UAYZ,4717677338881,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B07TGHV63W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
339,"ASRock X570 Phantom Gaming-ITX/TB3, AMD X570",$254.77 USD,ASRock,90-MXBB10-A0UAYZ,4717677339147,,AM4,X570,True,Mini-ITX,DDR4,64 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B07VXYYG7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
340,"ASRock X570 Pro4, AMD X570",$176.59 USD,ASRock,90-MXBAT0-A0UAYZ,4717677338874,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07THYPNC1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
341,"ASRock X570 Steel Legend, AMD X570",$169.72 USD,ASRock,90-MXBAR0-A0UAYZ,4717677338904,,AM4,X570,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07WHHWBX5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
343,"ASRock X570M Pro4, AMD X570",$190.43 USD,ASRock,90-MXBAS0-A0UAYZ,4717677338812,,AM4,X570,True,Micro-ATX,DDR4,128 GB,4,8,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07TD8ZT5T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
360,ASRock Z170 Extreme7+,$225.19 USD,ASRock,Z170 Extreme7+,4717677326888,4717677326888.0,1151,Z170,True,ATX,DDR4,64 GB,4,10,0,1.0,1.0,1.0,False,False,https://www.amazon.ca/ASRock-DDR4-Motherboards-Z170-EXTREME7/dp/B012D7GV78?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B012D7GV78
368,ASRock Z270 Extreme4,$256.04 USD,ASRock,90-MXB3N0-A0UAYZ,4717677332391,,1151,Z270,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Z270-EXTREME4-CrossFireX-Motherboard/dp/B01NBEX0EK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NBEX0EK
370,ASRock Z270 Taichi,$167.47 USD,ASRock,90-MXB4P0-A0UAYZ,4717677332766,,1151,Z270,True,ATX,DDR4,64 GB,4,10,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Z270-Taichi-CrossFireX-Motherboard/dp/B01MU7LLGW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MU7LLGW
372,ASRock Z370 Extreme4,$176.98 USD,ASRock,90-MXB5U0-A0UAYZ,4717677334227,,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370-EXTREME4/dp/B0763BS899?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0763BS899
374,ASRock Z370 Taichi,$210.86 USD,ASRock,90-MXB5Y0-A0UAYZ,4717677334340,,1151,Z370,True,ATX,DDR4,64 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Intel-Z370-Motherboard-Taichi/dp/B07638ZKSD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638ZKSD
375,ASRock Z370M ITX/ac,$154.82 USD,ASRock,90-MXB620-A0UAYZ,4717677334371,,1151,Z370,True,Mini-ITX,DDR4,32 GB,2,6,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370M-ITX-AC/dp/B07638L88W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07638L88W
376,ASRock Z390 M Pro 4,$122.27 USD,ASRock,90-MXB740-A0UAYZ,4717677336801,,1151,Z390,False,Micro-ATX,DDR4, GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07HYR7CKR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
377,ASRock Z390 Phantom Gaming 4,$148.75 USD,ASRock,90-MXB8X0-A0UAYZ,4717677336924,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07HYNG99P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
378,ASRock Z390 Phantom Gaming-ITX/AC,$208.47 USD,ASRock,90-MXB8L0-A0UAYZ,4717677336832,,1151,Z390,False,Mini-ITX,DDR4, GB,2,4,0,0.0,1.0,1.0,False,False,https://www.amazon.ca/dp/B07HYNL939?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
379,ASRock Z390 Pro 4,$116.05 USD,ASRock,90-MXB6T0-A0UAYZ,4717677336733,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07HYFYGVZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
380,ASRock Z390 Taichi Ultimate,$300.36 USD,ASRock,90-MXB8G0-A0UAYZ,4717677336757,,1151,Z390,False,ATX,DDR4, GB,4,4,0,0.0,0.0,1.0,False,False,https://www.amazon.ca/dp/B07HYBV9TV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
381,ASRock Z390M-ITX/AC,$135.62 USD,ASRock,90-MXB6Q0-A0UAYZ,4717677336795,,1151,Z390,False,Mini-ITX,DDR4, GB,2,4,0,0.0,1.0,2.0,False,False,https://www.amazon.ca/dp/B07HYPSLLS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
390,ASRock Z490 Taichi,$365.71 USD,ASRock,90-MXBBQ0-A0UAYZ,4710483931185,,1200,Z490,True,ATX,DDR4,128 GB,4,8,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B087TBBTGN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
391,ASRock Z490M Pro4,$178.82 USD,ASRock,90-MXBBV0-A0UAYZ,4710483930713,,1200,Z490,True,ATX,DDR4,128 GB,4,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B087TDJ2QN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
392,ASRock Z490M-ITX/ac,$155.32 USD,ASRock,90-MXBC00-A0UAYZ,4710483931147,,1200,Z490,True,Mini-ITX,DDR4,64 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B087TDGDP7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
444,Asus B85M-G R2.0,$77.32 USD,Asus,B85M-G R2.0,5269692786868,734911129641.0,1150,B85,False,ATX,DDR3,32 GB,4,4,1,1.0,,1.0,False,False,https://www.amazon.ca/ASUS-Micro-Motherboard-B85M-G-R2-0/dp/B00KO6F8YI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00KO6F8YI
447,Asus CROSSBLADE RANGER,$145.46 USD,Asus,CROSSBLADE RANGER,886227812967,12304339649.0,FM2+,A88X (Bolton D4),False,ATX,DDR3,64 GB,4,8,1,1.0,,1.0,False,False,https://www.amazon.ca/Socket-Athlon-A88x-Bolton-D4-4xddr3/dp/B00MSOP7O0?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MSOP7O0
458,Asus H110M-K,$60.92 USD,Asus,H110M-K,889349191682,889349191682.0,1151,H110,False,ATX,DDR4,32 GB,2,4,1,1.0,,,False,False,https://www.amazon.ca/Asus-Micro-Motherboard-H110M-C-CSM/dp/B017E0LKDE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B017E0LKDE
459,ASUS H110M-K,$63.43 USD,ASUS,90MB0PH0-M0EAY0,4712900263374,889349263372.0,1151,H110,False,Micro-ATX,DDR4,32 GB,2,4,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/ASUS-H110M-K-Plus-placa-base/dp/B017UL7NKQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B017UL7NKQ
461,Asus H170 PRO GAMING,$129.35 USD,Asus,H170 PRO GAMING,5283566775086,889349125052.0,1151,H170,False,ATX,DDR4,64 GB,4,4,1,1.0,1.0,1.0,False,False,https://www.amazon.ca/DisplayPort-H170-Motherboards-PRO-GAMING/dp/B014F7BQUG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014F7BQUG
470,Asus H370 MINING MASTER,$58.02 USD,Asus,H370 MINING MASTER,889349842522,889349842522.0,1151,H370,False,ATX,DDR4,32 GB,2,2,,1.0,,1.0,False,False,https://www.amazon.ca/dp/B075KFPJ6M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
477,ASUS H81M-Plus,$61.22 USD,ASUS,90MB0GI0-M0EAY0,4716659550242,,1150,H81,False,Micro-ATX,DDR3,16 GB,2,2,0,0.0,0.0,0.0,False,False,https://www.amazon.ca/dp/B00EIG2O2O?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
