,Name,Price,Producer,MPN,EAN,UPC,Form Factor,Protocol,Size,NAND,Controller,Product Page
132,Crucial MX500 M.2 Solid State Drive 1000 GB,$106.43 USD,Crucial,CT1000MX500SSD4,649528785107,649528785107.0,M.2,SATA,1000 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B0784SY515?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
133,Crucial MX500 M.2 Solid State Drive 250 GB,$50.05 USD,Crucial,CT250MX500SSD4,649528785084,649528785084.0,M.2,SATA,250 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B077SL4FZG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
134,Crucial MX500 M.2 Solid State Drive 500 GB,$79.78 USD,Crucial,CT500MX500SSD4,649528785091,649528785091.0,M.2,SATA,500 GB,TLC,Silicon Motion SM2258,https://www.amazon.ca/dp/B077SQ8J1V?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
135,Crucial P5 1000 GB,$108.8 USD,Crucial,CT1000P5SSD8,649528823311,,M.2,NVM,1000 GB,TLC,Micron,https://www.amazon.ca/dp/B087QRVVVH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
136,Crucial P5 2000 GB,$251.01 USD,Crucial,CT2000P5SSD8,649528823328,,M.2,NVM,2000 GB,TLC,Micron,https://www.amazon.ca/dp/B0892TWDP1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
137,Crucial P5 250 GB,$50.77 USD,Crucial,CT250P5SSD8,649528823236,,M.2,NVM,250 GB,TLC,Micron,https://www.amazon.ca/dp/B0892TH611?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
138,Crucial P5 500 GB,$68.9 USD,Crucial,CT500P5SSD8,649528823304,,M.2,NVM,500 GB,TLC,Micron,https://www.amazon.ca/dp/B087QTMXS7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
139,Crucial P5 Plus 1000 GB,$88.63 USD,Crucial,CT1000P5PSSD8,649528906663,,M.2,NVM,1000 GB,TLC,Micron,https://www.amazon.ca/dp/B098WL46RS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
140,Crucial P5 Plus 2000 GB,$181.73 USD,Crucial,CT2000P5PSSD8,649528906670,,M.2,NVM,2000 GB,TLC,Micron,https://www.amazon.ca/dp/B098WKQRDL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
141,Crucial P5 Plus 500 GB,$61.75 USD,Crucial,CT500P5PSSD8,649528906656,,M.2,NVM,500 GB,TLC,Micron,https://www.amazon.ca/dp/B098W1NDV2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
145,Gigabyte 120 GB,$28.79 USD,Gigabyte,GP-GSTFS31120GNTD,4719331803704,889523014264.0,SATA,SATA,120 GB,,,https://www.amazon.ca/Gigabyte-GIGABYTE-120GB-Flash-Internal/dp/B07GJKR7RX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GJKR7RX
147,Gigabyte 240 GB,$41.11 USD,Gigabyte,GP-GSTFS31240GNTD,4719331803711,889523014271.0,SATA,SATA,240 GB,,,https://www.amazon.ca/dp/B07G5RD1XK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
150,Gigabyte 480 GB,$65.28 USD,Gigabyte,GP-GSTFS31480GNTD,4719331804787,889523015896.0,SATA,SATA,480 GB,,,https://www.amazon.ca/dp/B07QJ756H8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
151,Gigabyte 512 GB,$82.53 USD,Gigabyte,GP-GSM2NE3512GNTD,4719331806880,,M.2,NVM,512 GB,,,https://www.amazon.ca/Gigabyte-NVMe-3-0x4-512GB-GP-GSM2NE3512GNTD/dp/B07Z9YFX2S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07Z9YFX2S
152,Gigabyte Aorus 1000 GB,$288.02 USD,Gigabyte,GP-ASM2NE6100TTTD,4719331805784,,M.2,NVM,1000 GB,TLC,Phison PS5016-E16,https://www.amazon.ca/GIGABYTE-PCI-Express-Interface-Performance-GP-ASM2NE6100TTTD/dp/B07TJWZGL9?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07TJWZGL9
153,Gigabyte Aorus 256 GB,$88.21 USD,Gigabyte,GP-ASM2NE2256GTTDR,4719331804794,,M.2,NVM,256 GB,TLC,Phison PS5012-E12,https://www.amazon.ca/GIGABYTE-AORUS-Nvme-256GB-GP-ASM2NE2256GTTDR/dp/B07PF1SBBS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07PF1SBBS
154,Gigabyte Aorus 512 GB,$107.38 USD,Gigabyte,GP-ASM2NE2512GTTDR,4719331804800,,M.2,NVM,512 GB,TLC,Phison PS5012-E12,https://www.amazon.ca/dp/B07QBVWCQL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
156,Gigabyte UD Pro Series 256 GB,$61.24 USD,Gigabyte,GP-GSTFS30256GTTD,4719331803278,,SATA,SATA,256 GB,TLC,Phison PS3110-S10 (8 Kanäle),https://www.amazon.ca/GIGABYTE-256GB-Layer-Flash-Internal/dp/B07D9C7SQR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07D9C7SQR
158,Gigabyte UD PRO Series 512 GB,$102.19 USD,Gigabyte,GP-GSTFS30512GTTD,4719331803476,,SATA,SATA,512 GB,TLC,,https://www.amazon.ca/GIGABYTE-512GB-Layer-Flash-Internal/dp/B07D9686LD?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07D9686LD
167,HyperX Savage Series,$378.68 USD,HyperX,SHSS37A/960G,740617239874,,SATA,SATA,960 GB,MLC,Phison PS3110-S10,https://www.amazon.ca/Kingston-HyperX-Savage-SHSS37A-960G/dp/B00W35L2A2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00W35L2A2
185,Intel 540s Series Solid State Drive,$324.8 USD,Intel,SSDSCKKW010X6X1,5032037084536,,M.2,SATA,1000 GB,,,https://www.amazon.ca/Intel-Solid-Stata-Drive-SSDSCKKW010X6X1/dp/B01C786L4G?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01C786L4G
190,Intel 660P Series,$109.71 USD,Intel,SSDPEKNW010T8X1,735858381086,735858381512.0,M.2,NVM,1000 GB,QLC,Silicon Motion SM2263EN,https://www.amazon.ca/dp/B07GCL6BR4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
191,Intel 760p Series,$93.42 USD,Intel,SSDPEKKW256G8XT,735858362795,735858362795.0,M.2,NVM,256 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/Intel-760P-256GB-80mm-PCIe/dp/B078VBL3T9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078VBL3T9
192,Intel 760p Series 1000 GB,$218.72 USD,Intel,SSDPEKKW010T8X1,735858362832,735858362832.0,M.2,NVM,1000 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/dp/B078QD1KRB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
193,Intel 760p Series 128 GB,$46.36 USD,Intel,SSDPEKKW128G8XT,735858362771,735858362771.0,M.2,NVM,128 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/dp/B078VBGSVL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
194,Intel 760p Series 2000 GB,$443.83 USD,Intel,SSDPEKKW020T8X1,735858362856,735858362856.0,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/Intel-760P-2-048TB-80mm-PCIe/dp/B078QD7M6J?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078QD7M6J
195,Intel 760p Series 512 GB,$111.25 USD,Intel,SSDPEKKW512G8XT,735858362818,735858362818.0,M.2,NVM,512 GB,TLC,Silicon Motion SM2262,https://www.amazon.ca/Intel%C2%AE-760P-512GB-80mm-PCIe/dp/B078VCGSKS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078VCGSKS
197,Intel Optane 800P 118 GB,$244.4 USD,Intel,SSDPEK1W120GA01,735858349529,,M.2,NVM,118 GB,3D XPoint,Intel SLL3D,https://www.amazon.ca/dp/B078T2SM3D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
198,Intel Optane 800P 58 GB,$138.79 USD,Intel,SSDPEK1W060GA01,735858349512,,M.2,NVM,58 GB,3D XPoint,Intel SLL3D,https://www.amazon.ca/dp/B078SZZ1XF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
199,Intel Optane 900P AIC Solid State Drive 480 GB,$642.3 USD,Intel,SSDPED1D480GAX1,5032037093668,,M.2,NVM,480 GB,3D XPoint,Intel SLL3D,https://www.amazon.ca/dp/B077767L4X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
201,Intel Optane 900P Series 2 280 GB,$337.7 USD,Intel,SSDPE21D280GASM,5032037115773,735858359191.0,M.2,NVM,280 GB,3D XPoint,Intel EAU01D76 SLL3D,https://www.amazon.ca/Intel-Optane-280GB-2-5in-XPoint/dp/B0772SSYDB?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0772SSYDB
203,Intel Optane Series,$88.21 USD,Intel,MEMPEK1W032GAXT,675901462341,735858337090.0,M.2,NVM,32 GB,3D XPoint,Intel,https://www.amazon.ca/Intel-Optane-Memory-Module-MEMPEK1W032GAXT/dp/B06XSXX3NS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06XSXX3NS
204,Intel Optane Series 16 GB,$50.77 USD,Intel,MEMPEK1W016GAXT,5032037099950,735858337076.0,M.2,NVM,16 GB,3D XPoint,Intel,https://www.amazon.ca/dp/B06XSMTN31?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
207,Intel Pro 6000P Series,$97.98 USD,Intel,SSDPEKKF256G7X1,5032037087681,735858318181.0,M.2,NVM,256 GB,TLC,Silicon Motion SM2260,https://www.amazon.ca/Intel-SSDPEKKF256G7X1-6000p-express-Retail/dp/B01LW6USJD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LW6USJD
208,Intel Pro 6000P Series,$378.84 USD,Intel,SSDPEKKF010T7X1,5032037087728,,M.2,NVM,1000 GB,,,https://www.amazon.ca/Intel-SSDPEKKF010T7X1-Solid-State-Drive/dp/B01LVXUCFC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LVXUCFC
216,Kingston A1000 NVMe M.2 Solid State Drive,$50.38 USD,Kingston,SA1000M8/240G,740617277333,740617277333.0,M.2,NVM,240 GB,TLC,Phison PS5008-E8,https://www.amazon.ca/dp/B07BMXS6SH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
217,Kingston A400 - 960 GB 960 GB,$50.75 USD,Kingston,SA400S37/960G,740617277357,,SATA,SATA,960 GB,TLC,Phison PS3111-S11,https://www.amazon.ca/dp/B079XC5PVV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
219,Kingston DC400 960GB,$324.25 USD,Kingston,SEDC400S37/960G,740617254419,,SATA,SATA,960 GB,,,https://www.amazon.ca/960Gb-Ssdnow-Dc400-Ssd-Sata/dp/B01LFOIK2Y?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LFOIK2Y
229,Kingston Now UV400 120GB TLC,$71.67 USD,Kingston,SUV400S3B7A/120G,740617252880,,SATA,SATA,120 GB,,,https://www.amazon.ca/Kingston-Digital-SSDNow-SUV400S3B7A-120G/dp/B01FRP254G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01FRP254G
236,Kingston NV1 NVMe 1000 GB,$86.31 USD,Kingston,SNVS/1000G,740617316681,,M.2,NVM,1000 GB,,,https://www.amazon.ca/dp/B091BDQ2B6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
237,Kingston NV1 NVMe 2000 GB,$136.67 USD,Kingston,SNVS/2000G,740617316889,,M.2,NVM,2000 GB,,,https://www.amazon.ca/dp/B091BG4HDW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
238,Kingston NV1 NVMe 250 GB,$38.92 USD,Kingston,SNVS/250G,740617323047,,M.2,NVM,250 GB,,,https://www.amazon.ca/dp/B09DVP94WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
239,Kingston NV1 NVMe 500 GB,$50.04 USD,Kingston,SNVS/500G,740617316841,,M.2,NVM,500 GB,,,https://www.amazon.ca/dp/B091BCQK7B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
242,Kingston Solid State Drive,$33.68 USD,Kingston,SM2280S3G2/480G,740617248975,,M.2,SATA,480 GB,MLC,Phison PS3110,https://www.amazon.ca/dp/B01BJ0HQK6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
243,Kingston SSDNow A400 Series 120 GB,$15.95 USD,Kingston,SA400S37/120G,740617261196,,SATA,SATA,120 GB,TLC,Phison PS3111-S-11,https://www.amazon.ca/dp/B01N6JQS8C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
244,Kingston SSDNow A400 Series 240 GB,$21.75 USD,Kingston,SA400S37/240G,740617261219,,SATA,SATA,240 GB,TLC,Phison PS3111-S-11,https://www.amazon.ca/dp/B01N5IB20Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
245,Kingston SSDNow A400 Series 480 GB,$31.17 USD,Kingston,SA400S37/480G,740617263442,,SATA,SATA,480 GB,TLC,Phison PS3111-S-11,https://www.amazon.ca/dp/B01N0TQPQB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
250,Kingston SSDNow UV500 Series 120 GB,$28.28 USD,Kingston,SUV500/120G,740617273823,740617273823.0,SATA,SATA,120 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Kingston-120GB-UV500-SSD-SATA/dp/B07CFXXF49?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CFXXF49
251,Kingston SSDNow UV500 Series 240 GB,$40.58 USD,Kingston,SUV500/240G,740617273809,740617273809.0,SATA,SATA,240 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Kingston-240GB-UV500-SSD-SATA/dp/B07CCD16YD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CCD16YD
252,Kingston SSDNow UV500 Series 480 GB,$63.83 USD,Kingston,SUV500/480G,740617273793,740617273793.0,SATA,SATA,480 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Kingston-480GB-UV500-SSD-SATA/dp/B07CFXNRVD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CFXNRVD
253,Kingston SSDNow UV500 Series 960 GB,$134.91 USD,Kingston,SUV500/960G,740617273786,740617273786.0,SATA,SATA,960 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/Kingston-960GB-UV500-SSD-C2C/dp/B07C53S2LT?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07C53S2LT
254,Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive,$47.14 USD,Kingston,SUV500M8/240G,740617274127,740617274127.0,M.2,SATA,240 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/dp/B07C3YHRW3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
255,Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive 120 GB,$35.56 USD,Kingston,SUV500M8/120G,740617274141,740617274141.0,M.2,SATA,120 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/dp/B07C3YMVBL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
256,Kingston Solid State DriveNow UV500 Series M.2 Solid State Drive 480 GB,$99.09 USD,Kingston,SUV500M8/480G,740617274103,740617274103.0,M.2,SATA,480 GB,TLC,Marvell 88SS1074,https://www.amazon.ca/dp/B07C3LQB65?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
258,Kingston SSDNow V300 Series,$167.4 USD,Kingston,SV300S37A/480G,740617223941,,SATA,SATA,480 GB,MLC,LSI SandForce SF-2281,https://www.amazon.ca/Kingston-Digital-2-5-Inch-SV300S37A-480G/dp/B00FXJWO5C?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00FXJWO5C
279,OCZ TR150 960GB TLC,$276.18 USD,OCZ,TRN150-25SAT3-960G,842024037712,,SATA,SATA,960 GB,,,https://www.amazon.ca/OCZ-Storage-Solutions-S%C3%83%C2%B3lido-Interno/dp/B01B4NUKDS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01B4NUKDS
290,Patriot Burst,$30.45 USD,Patriot,PBU120GS25SSDR,814914023921,,SATA,SATA,120 GB,,Phison S11,https://www.amazon.ca/dp/B07574MTR4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
291,Patriot Burst,$34.81 USD,Patriot,PBU240GS25SSDR,814914023938,,SATA,SATA,240 GB,,Phison S11,https://www.amazon.ca/Patriot-Memory-Burst-240GB-Internal/dp/B07573JBW3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07573JBW3
300,PNY CS3140 4000 GB,$526.62 USD,PNY,M280CS3140-4TB-RB,751492648521,,M.2,NVM,4000 GB,3D TLC,,https://www.amazon.ca/dp/B09C44XFZ2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
302,Sabrent Rocket,$49.03 USD,Sabrent,SB-ROCKET-256,840025210615,,M.2,NVM,256 GB,TLC,Phison PS5012,https://www.amazon.ca/dp/B07KGLN3HN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
320,Samsung 860 PRO Series 2000 GB,$443.59 USD,SAMSUNG,MZ-76P2T0B/EU,8801643120559,,SATA,SATA,2000 GB,MLC,Samsung MJX,https://www.amazon.ca/dp/B078WQT88J?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
332,Samsung 870 QVO 8000 GB,$670.69 USD,SAMSUNG,MZ-77Q8T0BW,8806090396014,,SATA,SATA,8000 GB,MLC,Samsung MKX,https://www.amazon.ca/dp/B089C3TZL9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
333,Samsung 960 EVO,$86.21 USD,SAMSUNG,MZ-V6E250BW,8806088540139,887276185309.0,M.2,NVM,250 GB,TLC,Samsung Polaris,https://www.amazon.ca/dp/B01LYFKX41?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
334,Samsung 960 EVO,$127.48 USD,SAMSUNG,MZ-V6E500BW,8806088540122,,M.2,NVM,500 GB,TLC,Samsung Polaris,https://www.amazon.ca/dp/B01M20VBU7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
335,Samsung 960 EVO,$494.78 USD,SAMSUNG,MZ-V6E1T0BW,8806088540115,887276185286.0,M.2,NVM,1000 GB,TLC,Samsung Polaris,https://www.amazon.ca/dp/B01LXS4TY6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
336,Samsung 960 PRO,$271.86 USD,SAMSUNG,MZ-V6P512BW,8806088540146,887276185316.0,M.2,NVM,512 GB,MLC,Samsung Polaris,https://www.amazon.ca/dp/B01LXS4TYB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
337,Samsung 960 PRO,$550.92 USD,SAMSUNG,MZ-V6P1T0BW,8806088540153,,M.2,NVM,1000 GB,MLC,Samsung Polaris,https://www.amazon.ca/Samsung-Internal-MZ-V6P1T0BW-Canada-Version/dp/B01LYRCIPG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LYRCIPG
338,Samsung 960 PRO,$1268.68 USD,SAMSUNG,MZ-V6P2T0BW,8806088540160,,M.2,NVM,2000 GB,MLC,Samsung Polaris,https://www.amazon.ca/Samsung-960-Internal-MZ-V6P2T0BW-Version/dp/B01LY3Y9PH?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LY3Y9PH
339,Samsung 970 Evo Plus 250 GB,$103.91 USD,SAMSUNG,MZ-V7S250BW,8801643628079,,M.2,NVM,250 GB,MLC,Samsung Phoenix,https://www.amazon.ca/Samsung-MZ-V7S250BW/dp/B07MHXYL6T?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MHXYL6T
340,Samsung 970 Evo Plus 500 GB,$139.76 USD,SAMSUNG,MZ-V7S500BW,8801643628116,887276302546.0,M.2,NVM,500 GB,MLC,Samsung Phoenix,https://www.amazon.ca/dp/B07MFBLN7K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
341,Samsung 970 PRO 1000 GB,$359.03 USD,SAMSUNG,MZ-V7P1T0BW,8801643205379,887276261928.0,M.2,NVM,1000 GB,MLC,Samsung Phoenix,https://www.amazon.ca/dp/B07CGGRYVT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
342,Samsung 970 PRO 512 GB,$145.07 USD,SAMSUNG,MZ-V7P512BW,8801643205355,887276261904.0,M.2,NVM,512 GB,MLC,Samsung Phoenix,https://www.amazon.ca/dp/B07C8Y31G2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
355,Samsung PM981 256 GB,$10.84 USD,SAMSUNG,MZVLB256HAHQ,0,824142142967.0,M.2,NVM,256 GB,MLC,Samsung Phoenix,https://www.amazon.ca/dp/2253053511?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
360,SanDisk Plus 120GB TLC,$48.56 USD,SanDisk,SDSSDA-120G-G26,619659146689,,SATA,SATA,120 GB,,,https://www.amazon.ca/dp/B01F9G414U?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
361,SanDisk Plus 240GB TLC,$26.57 USD,SanDisk,SDSSDA-240G-G26,619659146726,,SATA,SATA,240 GB,,,https://www.amazon.ca/dp/B01F9G43WU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
362,SanDisk Plus 480GB TLC,$39.89 USD,SanDisk,SDSSDA-480G-G26,619659146757,,SATA,SATA,480 GB,,,https://www.amazon.ca/dp/B01F9G46Q8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
363,SanDisk Plus 960GB TLC,$83.56 USD,SanDisk,SDSSDA-960G-G26,619659151324,,SATA,SATA,960 GB,,,https://www.amazon.ca/dp/B01LY5ZZ4P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
364,SanDisk Ultra II 240GB TLC,$85.19 USD,SanDisk,SDSSDHII-240G-G25,619659112134,,SATA,SATA,240 GB,,,https://www.amazon.ca/SanDisk-Ultra-2-5-Inch-Height-SDSSDHII-240G-G25/dp/B00M8ABEIM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00M8ABEIM
365,SanDisk Ultra II 480GB TLC,$102.21 USD,SanDisk,SDSSDHII-480G-G25,619659112165,,SATA,SATA,480 GB,,,https://www.amazon.ca/SanDisk-Ultra-2-5-Inch-Height-SDSSDHII-480G-G25/dp/B00M8ABFX6?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00M8ABFX6
366,SanDisk Ultra II 960GB TLC,$193.37 USD,SanDisk,SDSSDHII-960G-G25,619659112196,,SATA,SATA,960 GB,,,https://www.amazon.ca/SanDisk-Ultra-2-5-Inch-Height-SDSSDHII-960G-G25/dp/B00M8ABHVQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00M8ABHVQ
368,Seagate BarraCuda 510 512 GB,$95.02 USD,Seagate,ZP512CM30041,763649134016,,M.2,NVM,512 GB,TLC,Phison PS5012-E12 mit 8 Kanälen,https://www.amazon.ca/dp/B07QRCJGJ7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
369,Seagate FireCuda 530 1000 GB,$87.04 USD,Seagate,ZP1000GM3A013,8719706420426,763649161753.0,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://www.amazon.ca/dp/B08Q54CHS6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
370,Seagate FireCuda 530 2000 GB,$347.45 USD,Seagate,ZP2000GM3A013,8719706420433,763649161760.0,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://www.amazon.ca/dp/B0971D2WWL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
371,Seagate FireCuda 530 4000 GB,$515.01 USD,Seagate,ZP4000GM3A013,8719706420440,763649161777.0,M.2,NVM,4000 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://www.amazon.ca/dp/B08Q54GHTC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
372,Seagate FireCuda 530 500 GB,$61.65 USD,Seagate,ZP500GM3A013,8719706420419,763649161746.0,M.2,NVM,500 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://www.amazon.ca/dp/B08Q4X1HRJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
373,Seagate IronWolf 240 GB,$58.02 USD,Seagate,ZP240NM30011,8719706018326,763649135952.0,M.2,NVM,240 GB,TLC,SK Hynix mit 8 Kanälen,https://www.amazon.ca/dp/B0851FF1V8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
374,Seagate IronWolf 480 GB,$108.8 USD,Seagate,ZP480NM30011,8719706018333,763649135969.0,M.2,NVM,480 GB,TLC,SK Hynix mit 8 Kanälen,https://www.amazon.ca/dp/B0853WQN8R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
375,Seagate IronWolf 960 GB,$213.21 USD,Seagate,ZP960NM30011,8719706018340,763649135976.0,M.2,NVM,960 GB,TLC,SK Hynix mit 8 Kanälen,https://www.amazon.ca/dp/B0851F3B78?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
