,Name,Price,Producer,MPN,EAN,UPC,Resolution,Refresh Rate,Size,Panel,Response Time,HDMI,DisplayPort,DVI,VGA,Speaker,Curved,Adjustable Height,Sync,Product Page
478,Viewsonic VX2776-4K-MHD,$377.19 USD,ViewSonic,VX2776-4K-MHD,766907995817,,3840 × 2160,60 Hz,"27""",IPS,4,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B07RWD1JQ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
480,Viewsonic VX2776-SMHD,$148.69 USD,ViewSonic,VX2776-SMHD,766907835724,,1920 x 1080,60 Hz,"27""",IPS,4,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B01GE9QWB6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
481,Viewsonic VX2778-SMHD,$302.08 USD,ViewSonic,VX2778-SMHD,766907840018,,2560 x 1440,60 Hz,"27""",IPS,5,1,1,0,0,False,False,False,,https://www.amazon.ca/dp/B01GV9H6BE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
482,Viewsonic VX3211-2K-MHD,$235.7 USD,ViewSonic,VX3211-2K-MHD,766907918410,,2560 x 1440,60 Hz,"32""",IPS,3,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B0746P6L45?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
483,Viewsonic VX3211-4K-MHD,$293.4 USD,ViewSonic,VX3211-4K-MHD,766907977912,,3840 × 2160,60 Hz,"32""",VA,3,0,0,0,0,False,False,False,FreeSync,https://www.amazon.ca/dp/B07F733RYH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
485,Viewsonic VX3218-PC-MHD,$277.83 USD,ViewSonic,VX3218-PC-MHD,766907010190,,1920 x 1080,165 Hz,"32""",VA,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08V85DH1R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
487,Viewsonic VX3258-2KC-MHD,$301.94 USD,ViewSonic,VX3258-2KC-MHD,766907952810,,2560 x 1440,144 Hz,"32""",VA,5,0,0,0,0,True,True,False,FreeSync,https://www.amazon.ca/ViewSonic-VX3258-2KC-MHD-Ultrawide-Monitor-FreeSync/dp/B07B8DXNDZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B8DXNDZ
488,Viewsonic VX3268-2KPC-MHD,$209.19 USD,ViewSonic,VX3268-2KPC-MHD,766907007732,,2560 x 1440,144 Hz,"31.5""",VA,3,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B08D5H24N8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
489,Viewsonic VX3276-2K-MHD,$226.19 USD,ViewSonic,VX3276-2K-MHD,766907953633,,2560 x 1440,122 Hz,"32""",IPS,3,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B0787XMLZQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
490,Viewsonic VX3276-4K-MHD,$301.81 USD,ViewSonic,VX3276-4K-MHD,766907002966,,3840 × 2160,60 Hz,"31.5""",VA,4,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B07SRDX1Z1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
491,Viewsonic VX3418-2KPC,$330.06 USD,ViewSonic,VX3418-2KPC,766907011494,,3440 x 1440,144 Hz,"34""",VA,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B08ZT31QCN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
492,Viewsonic VX4380-4K,$710.86 USD,ViewSonic,VX4380-4K,766907897418,,3840 × 2160,60 Hz,"43""",IPS,5,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B06XYTHP1M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
493,Viewsonic XG2401,$208.68 USD,ViewSonic,XG2401,766907818116,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B01A0ZRR50?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
494,Viewsonic XG2402,$129.12 USD,ViewSonic,XG2402,766907927412,,1920 x 1080,144 Hz,"24""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B075D1B4SV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
495,Viewsonic XG2530,$341.09 USD,ViewSonic,XG2530,766907906219,,1920 x 1080,240 Hz,"24.5""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B071DTCPP3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
496,Viewsonic XG2700-4K,$530.15 USD,ViewSonic,XG2700-4K,766907827323,,3840 × 2160,60 Hz,"27""",IPS,5,0,0,0,0,False,False,True,FreeSync,https://www.amazon.ca/dp/B01A0ZRQTW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
497,Viewsonic XG2702,$324.96 USD,ViewSonic,XG2702,766907925111,,1920 x 1080,144 Hz,"27""",TN,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B00004YK4I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
499,Viewsonic XG2705,$156.67 USD,ViewSonic,XG2705,766907005042,,1920 x 1080,144 Hz,"27""",IPS,1,0,0,0,0,True,False,True,FreeSync,https://www.amazon.ca/dp/B084JNYTYV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
500,Viewsonic XG270QG,$665.17 USD,ViewSonic,XG270QG,766907004793,,2560 x 1440,165 Hz,"27""",IPS,1,0,0,0,0,True,False,False,,https://www.amazon.ca/dp/B07VP9GS1Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
502,ViewSonic XG320Q,$599.78 USD,ViewSonic,XG320Q,766907011296,,2560 x 1440,175 Hz,"32""","IPS, Quantum Dot",1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B094RJ5ZT2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
503,ViewSonic XG320U,$834.52 USD,ViewSonic,XG320U,766907011302,,3840 × 2160,144 Hz,"32""","IPS, Quantum Dot",1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B094RHCTG7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
504,Viewsonic XG3220,$457.38 USD,ViewSonic,XG3220,766907927610,,3840 × 2160,60 Hz,"32""",VA,5,0,0,0,0,False,False,True,,https://www.amazon.ca/dp/B079S2X4ZS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
506,Viewsonic XG341C-2K,$1458.0 USD,ViewSonic,XG341C-2K,766907016239,,3440 x 1440,200 Hz,"34""",VA,1,0,0,0,0,True,False,True,,https://www.amazon.ca/dp/B09PZBV2XJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
507,ZOWIE RL2455,$129.51 USD,ZOWIE,9H.LF4LB.DBE,4718755065736,,1920 x 1080,60 Hz,"24""",TN,1,1,0,1,1,False,False,False,,https://www.amazon.ca/dp/B01H5KKRLO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
510,ZOWIE XL2411,$166.82 USD,ZOWIE,9H.LELLB.RBE,4718755065477,,1920 x 1080,144 Hz,"24""",TN,1,1,0,1,0,False,False,True,,https://www.amazon.ca/dp/B01H5KKQTM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
511,ZOWIE XL2430,$266.21 USD,ZOWIE,9H.LF1LB.QBE,4718755064807,,1920 x 1080,60 Hz,"24""",TN,1,1,1,1,0,False,False,True,,https://www.amazon.ca/BenQ-S-Switch-Tournaments-Professional-XL2430/dp/B01H5KKW0A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01H5KKW0A
