,Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Product Page
260,"Cooler Master MasterAir MA410P , RGB - 120mm",$46.42 USD,Cooler Master,MAP-T4PN-220PC-R1,4719512064009,884102036675.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+","158,5 mm",,0,0,0,0,0,True,https://www.amazon.ca/dp/B076KKWS6J?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
261,"Cooler Master MasterAir MA610P , RGB - 120mm",$56.77 USD,Cooler Master,MAP-T6PN-218PC-R1,4719512063408,884102036088.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",166.5 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B076KNKR73?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
263,Cooler Master MasterLiquid ML240 ILLUSION White Edition - white,$103.69 USD,Cooler Master,MLX-D24M-A18PW-R1,4719512117415,884102089725.0,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09464Z8G9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
265,COOLER MASTER MAZ-T8PN-418PR-R1 140mm DynaLoop,$124.04 USD,Cooler Master,MAZ-T8PN-418PR-R1,884102027413,,"2011-V3 , 2011 , 1366 , 1151 , 1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+",172 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-MasterAir-Cooling-MAZ-T8PN-418PR-R1/dp/B01B12DQ38?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01B12DQ38
266,Cooler Master ML240R RGB,$125.24 USD,Cooler Master,MLX-D24M-A20PC-R1,4719512064825,884102037498.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B079K244KZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
269,COOLER MASTER RR-212E-20PK-R2 120mm Long Life Sleeve Bearing,$41.62 USD,Cooler Master,RR-212E-20PK-R2,884102012921,884102012921.0,"2011 , 1366 , 1151 , 1150 , 1155 , 1156 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2 , AM1",159 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B005O65JXI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
273,COOLER MASTER RR-G5V2-20PK-R1 120mm Loop Dynamic Bearing (LDB),$40.8 USD,Cooler Master,RR-G5V2-20PK-R1,884102026942,,"775 , 1155 , 1156 , 1366 , 2011",106 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-GeminII-Silencio-RR-G5V2-20PK-R1/dp/B00UOIK3FU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UOIK3FU
274,COOLER MASTER RR-H6V2-13PK-R1 120mm Rifle,$47.15 USD,Cooler Master,RR-H6V2-13PK-R1,884102026799,,"2011,1366,1156,1155,1150,775, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2",161 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Hyper-Ver-2-RR-H6V2-13PK-R1/dp/B00PJSFR7Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PJSFR7Y
275,COOLER MASTER RR-HD92-28PK-R1 92mm Rifle,$42.8 USD,Cooler Master,RR-HD92-28PK-R1,884102026508,,"1156 , 1366 , 775",147 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Hyper-D92-Accelerated/dp/B00NXLYE4G?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NXLYE4G
276,COOLER MASTER RR-T4-18PK-R1 120mm Rifle,$27.14 USD,Cooler Master,RR-T4-18PK-R1,884102018206,,"2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",153 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Contact-Heatpipes-RR-T4-18PK-R1/dp/B00BSKY1M4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00BSKY1M4
277,COOLER MASTER RR-VTPS-28PK-R1 92mm Long life sleeve,$29.93 USD,Cooler Master,RR-VTPS-28PK-R1,884102008511,,"754, 939, 940, AM2, 775, 1366",59 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-Vortex-Plus-RR-VTPS-28PK-R1/dp/B003INFE16?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B003INFE16
279,Cooler Master V8 - Vapor Chamber,$107.67 USD,Cooler Master,RR-V8VC-16PR-R1,4719512041864,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",166.5 mm,,0,0,0,0,0,False,https://www.amazon.ca/Cooler-Master-RR-V8VC-16PR-R1-GTS-Performance/dp/B00E0EXYDC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00E0EXYDC
280,Cooler Master Wraith Ripper - 120 mm,$95.74 USD,Cooler Master,MAM-D7PN-DWRPS-T1,4719512075074,884102047565.0,TR4,160 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B07H25DZ3M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
281,Corsair Air A500 - 120mm,$78.85 USD,Corsair,CT-9010003-WW,840006617600,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4",169 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B0829SLJSF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
282,Corsair Cooling Hydro Series H100i Platinum,$162.47 USD,Corsair,CW-9060039-WW,843591035460,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B07JWB5BSN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
283,Corsair Cooling Hydro Series H100i Platinum SE,$145.07 USD,Corsair,CW-9060042-WW,840006612711,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B07R6YLDDS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
284,Corsair Cooling Hydro Series H115i Platinum,$123.31 USD,Corsair,CW-9060038-WW,843591035453,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B07JWB5BSP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
287,Corsair Cooling Hydro Series H60 High Performance,$76.15 USD,Corsair,CW-9060036-WW,843591026543,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/dp/B0B3F413PK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
288,Corsair Cooling Hydro Series H60i RGB PRO XT,$87.04 USD,Corsair,CW-9060049-WW,840006624868,,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4, AM3, FM2, FM1",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/dp/B08PHVQBM6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
289,Corsair Cooling Hydro Series H75 Performance,$68.9 USD,Corsair,CW-9060035-WW,843591026536,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/Corsair-Hydro-Liquid-Cooler-Radiator/dp/B07DGDXW6Z?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07DGDXW6Z
290,Corsair Cooling Hydro Series H80i V2,$68.9 USD,Corsair,CW-9060024-WW,843591071529,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B019954Y2Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
291,CORSAIR iCUE H100i ELITE - black,$224.86 USD,Corsair,CW-9060061-WW,840006648130,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, sTR4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09HDJ3Z47?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
292,"Corsair iCUE H100i ELITE CAPELLIX , black",$148.69 USD,Corsair,CW-9060046-WW,840006618751,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B08G1NSG7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
293,"Corsair iCUE H100i ELITE CAPELLIX White , white",$162.47 USD,Corsair,CW-9060050-WW,840006630609,,"1200, sTR4, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B08Q7L3N4W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
294,"Corsair iCUE H100i ELITE CAPELLIX XT , black",$159.58 USD,Corsair,CW-9060068-WW,840006683476,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0BQJ54XW5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
295,"Corsair iCUE H100i ELITE CAPELLIX XT , white",$177.71 USD,Corsair,CW-9060072-WW,840006683513,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0BQJ4VNT1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
296,"Corsair iCUE H100i ELITE LCD XT , black",$251.06 USD,Corsair,CW-9060074-WW,840006694199,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B0BQWVNZDC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
297,"Corsair iCUE H100i RGB Elite , black",$137.81 USD,Corsair,CW-9060058-WW,840006648109,,"2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/dp/B09YC9FZ8M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
299,"Corsair iCUE H115i ELITE CAPELLIX , black",$159.58 USD,Corsair,CW-9060047-WW,840006618768,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B08G1Q1FHM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
300,"Corsair iCUE H115i ELITE CAPELLIX XT , black",$177.71 USD,Corsair,CW-9060069-WW,840006683483,,"1154, 1400, 2066, 2011-V3, 2011, 1700, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B0BQJ7HFSQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
301,"Corsair iCUE H115i RGB Elite , black",$152.32 USD,Corsair,CW-9060059-WW,840006648116,,"2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",0 mm,,0,0,0,2,0,False,https://www.amazon.ca/dp/B09YC262VM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
302,"Corsair iCUE H150i ELITE mit LCD-Monitor, black",$235.74 USD,Corsair,CW-9060062-WW,840006648147,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, TR4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09HDWQKV8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
303,"Corsair iCUE H150i ELITE CAPELLIX , black",$177.71 USD,Corsair,CW-9060048-WW,840006618775,,"1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B08G1Q3GZR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
304,"Corsair iCUE H150i ELITE CAPELLIX White , white",$184.96 USD,Corsair,CW-9060051-WW,840006630616,,"1200, sTR4, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B08Q86DSTX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
305,"Corsair iCUE H150i ELITE CAPELLIX XT , black",$199.47 USD,Corsair,CW-9060070-WW,840006683490,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0BQJ6QL7L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
306,"Corsair iCUE H150i ELITE CAPELLIX XT , white",$220.64 USD,Corsair,CW-9060073-WW,840006683520,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0BQJ44PGK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
307,"Corsair iCUE H150i ELITE LCD XT , black",$282.89 USD,Corsair,CW-9060075-WW,840006694205,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0BQWSP2ZP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
308,"Corsair iCUE H150i ELITE LCD XT , white",$268.38 USD,Corsair,CW-9060077-WW,840006694229,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B0BQWTMJ7F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
309,"Corsair iCUE H150i RGB Elite , black",$174.08 USD,Corsair,CW-9060060-WW,840006648123,,"2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/dp/B09YCHFXQL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
310,"Corsair iCUE H170i ELITE mit LCD-Monitor, black",$308.28 USD,Corsair,CW-9060063-WW,840006648154,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, TR4",0 mm,,0,0,0,3,0,False,https://www.amazon.ca/dp/B09HDPTRCQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
311,"Corsair iCUE H170i Elite Capellix , black",$210.35 USD,Corsair,CW-9060055-WW,840006643432,,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, sTR4",0 mm,,0,0,0,3,0,False,https://www.amazon.ca/dp/B095W3666C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
312,"Corsair iCUE H170i ELITE CAPELLIX XT , black",$235.74 USD,Corsair,CW-9060071-WW,840006683506,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,0,3,0,False,https://www.amazon.ca/dp/B0BQJ72D7R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
313,"Corsair iCUE H170i ELITE LCD XT , black",$311.17 USD,Corsair,CW-9060076-WW,840006694212,,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",0 mm,,0,0,0,3,0,False,https://www.amazon.ca/dp/B0BQWTVYLV?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
332,Deepcool FROSTWIN V2.0 120mm(2pcs) Hydro,$51.58 USD,DEEPCOOL,FROSTWIN V2.0,6933412725145,,"2011,1366,1156,1155,1151,1150,775, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2",151 mm,,0,0,0,0,0,False,https://www.amazon.ca/DeepCool-CPU-Cooler-FROSTWIN-V2-0/dp/B00RZ8DM9Q?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00RZ8DM9Q
333,Deepcool GABRIEL 120mm Hydro,$38.34 USD,DEEPCOOL,GABRIEL,6933412725398,,"1156,1155,1151,1150, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2,940,939,754",60 mm,,0,0,0,0,0,False,https://www.amazon.ca/DEEPCOOL-GABRIEL-DeepCool-CPU-Cooler/dp/B00IR5U3W0?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00IR5U3W0
334,DEEPCOOL Gamer Storm Lucifer K2 6 Heatpipes 120mm Slim and Silent PWM Fan,$48.75 USD,DEEPCOOL,LUCIFER K2,6933412725718,,"2011-V3, 2011, 1366, 1155,1156,1150,1151, 775, FM1,FM2,FM2+,AM3+,AM3,AM2+,AM2",163 mm,,0,0,0,0,0,False,https://www.amazon.ca/DeepCool-Cooler-Heatpipes-Lucifer-K2/dp/B018J94OOG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B018J94OOG
336,DEEPCOOL GAMMAXX 200T 2 Heat pipes 120mm PWM Fan,$20.12 USD,DEEPCOOL,GAMMAXX 200T,6933412725732,6933412725732.0,"1150 , 1151 , 1155 , 1156, 775, FM2, FM1, AM4, AM3+ , AM3, AM2+, AM2, K8",132 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B019KOXF8K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
338,DEEPCOOL GAMMAXX 400 4 Heatpipes 120mm PWM Fan with Blue LED,$26.15 USD,DEEPCOOL,GAMMAXX 400,6933412708131,6933412708131.0,"2011-V3 , 2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, AM4 , FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",155 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B007JEMXYQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
339,Deepcool GAMMAXX S40 120mm Hydro,$27.55 USD,DEEPCOOL,GAMMAXX S40,6933412725282,6933412725282.0,"2011, 1366, 1156 , 1155 , 1151 , 1150 , 775, FM2, FM1 , AM4 , AM3+ , AM3 , AM2+ , AM2 , 940 , 939",143 mm,,0,0,0,0,0,False,https://www.amazon.ca/DEEPCOOL-GAMMAXX-S40-Heatpipes-Compatible/dp/B00CVWQEIW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00CVWQEIW
359,Enermax Aquafusion,$87.05 USD,Enermax,ELC-AQF120-SQA,4713157723871,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,1,0,0,False,https://www.amazon.ca/Enermax-Aquafusion-Liquid-Addressable-ELC-AQF120-SQA/dp/B07P7RXLH1?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07P7RXLH1
360,Enermax Aquafusion,$108.81 USD,Enermax,ELC-AQF240-SQA,4713157723888,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/Enermax-Aquafusion-Liquid-Addressable-ELC-AQF240-SQA/dp/B07PB24DN2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07PB24DN2
362,ENERMAX ETS-N30R-HE 92mm,$26.88 USD,Enermax,ETS-N30R-HE,816163008445,,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",138 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B01C1FD5V2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
363,ENERMAX ETS-N30R-TAA 92mm,$33.83 USD,Enermax,ETS-N30R-TAA,816163008452,,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",138 mm,,0,0,0,0,0,False,https://www.amazon.ca/Enermax-ETS-N30-Compact-Cooler-ETS-N30R-TAA/dp/B01DGCFLFW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01DGCFLFW
364,Enermax ETS-T40F,$25.38 USD,Enermax,ETS-T40F TB,816163008247,816163008247.0,"775,1150,1151,1155,1156,1366,2011,2011-V3, AM2,AM2+,AM3,AM3+,FM1,FM2,FM2+",162 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B014W1Y1FM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
365,ENERMAX ETS-T40F-BK 120mm Twister Aluminum 120mm Black with blue LED PWM Fan,$29.07 USD,Enermax,ETS-T40F-BK,816163008254,816163008254.0,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",162 mm,,0,0,0,0,0,False,https://www.amazon.ca/Enermax-ETS-T40F-BK-Cooler-Intel-120mm/dp/B014W1Y0YO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014W1Y0YO
366,ENERMAX ETS-T40F-RF 140mm Twister Aluminum 120mm Black with 140mm PWM Fan,$38.91 USD,Enermax,ETS-T40F-RF,816163008278,,"775,1150,1151,1155,1156,1366,2011,2011-V3, AM2,AM2+,AM3,AM3+,FM1,FM2,FM2+",166 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B014W3EN26?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
367,ENERMAX ETS-T40F-TB 120mm Twister Aluminum 120mm with PWM Fan Low 8 dBA nosie w/ fan adaptor,$38.18 USD,Enermax,ETS-T40F-TB,816163008247,816163008247.0,"775,1150,1151,1155,1156,1366,2011,2011-V3, AM2,AM2+,AM3,AM3+,FM1,FM2,FM2+",162 mm,,0,0,0,0,0,False,https://www.amazon.ca/dp/B014W1Y1FM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
368,ENERMAX ETS-T40F-W 120mm Twister Aluminum 120mm White with Dual White LED PWM Fans,$37.66 USD,Enermax,ETS-T40F-W,816163008261,,"775 , 1150 , 1151 , 1155 , 1156 , 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",162 mm,,0,0,0,0,0,False,https://www.amazon.ca/Enermax-ETS-T40F-W-Cooler-Cluster-Included/dp/B014W1Y1MA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014W1Y1MA
369,ENERMAX ETS-T50A-BVT Twister Aluminum 120mm with DFR (Dust Free Rotation) Vegas Fan with 3 color LED,$49.53 USD,Enermax,ETS-T50A-BVT,816163008537,,"775 , 1150, 1151, 1155, 1156, 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",160 mm,,0,0,0,0,0,False,https://www.amazon.ca/Enermax-T50-Axe-Cooling-ETS-T50A-BVT/dp/B01LANOU88?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LANOU88
370,ENERMAX ETS-T50A-WVS Twister Aluminum 120mm White with DFR (Dust Free Rotation) White LED Fan,$60.79 USD,Enermax,ETS-T50A-WVS,816163008599,,"775 , 1150, 1151, 1155, 1156, 1366 , 2011 , 2011-V3, AM2 , AM2+ , AM3 , AM3+ , FM1 , FM2 , FM2+",160 mm,,0,0,0,0,0,False,https://www.amazon.ca/Enermax-T50-Cooling-ETS-T50A-WVS-White/dp/B01LJURCCI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LJURCCI
371,Enermax LiqFusion 240 RGB - 240 mm,$108.78 USD,Enermax,ELC-LF240-RGB,4713157723383,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",0 mm,,0,0,2,0,0,False,https://www.amazon.ca/LIQFusion-addressable-Exclusive-waterblock-ELC-LF240-RGB/dp/B07BB7P4NJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BB7P4NJ
377,Enermax LiqTech TR4 II RGB 360,$183.76 USD,Enermax,ELC-LTTRTO360-TBP,4713157723666,,"TR4, sTRX4",0 mm,,0,0,3,0,0,False,https://www.amazon.ca/Enermax-ELC-LTTRTO360-TBP-LIQTECH-360-Cooling/dp/B07H778NCW?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H778NCW
385,"EVGA ACX , black - 120 mm",$37.72 USD,EVGA,100-FS-C201-KR,4250812401717,,"1150, 1151, 1155, 1156, 1366, 2011, 775, AM2, AM2+, AM3, AM3+, FM1, FM2",164 mm,,0,0,1,0,0,False,https://www.amazon.ca/EVGA-Bearing-Cooling-Extreme-100-FS-C201-KR/dp/B00FS6NP3A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00FS6NP3A
