,Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Product Page
275,be quiet! Silent Base 600 Midi-Tower - silver,$125.49 USD,be quiet!,BG007,4260052184448,4260052184448.0,230 mm,495 mm,493 mm,ATX,ATX,400 mm,167 mm,0/0,1/5,1/5,0/0,2.0,1,1.0,0.0,0.0,3,3,0,,black silver,False,True,True,True,https://www.amazon.ca/quiet-BG007-Silent-Base-Silver/dp/B014VZEAD2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014VZEAD2
277,be quiet! Silent Base 601 Midi-Tower - orange,$140.05 USD,be quiet!,BG025,4260052186992,4260052186992.0,240 mm,532 mm,514 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/7,2/7,0/0,1.0,1,2.0,1.0,2.0,6,3,0,,"orange, black",False,True,True,True,https://www.amazon.ca/quiet-Mid-Tower-Computer-Insulation-BG025/dp/B07GT3PRNL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GT3PRNL
279,be quiet! Silent Base 601 Midi-Tower - black,$138.64 USD,be quiet!,BG026,4260052187111,4260052187111.0,240 mm,532 mm,514 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/7,2/7,0/0,1.0,1,2.0,1.0,2.0,6,3,0,,black,False,True,True,True,https://www.amazon.ca/quiet-Mid-Tower-Computer-Insulation-BG026/dp/B07GT4G988?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GT4G988
280,be quiet! Silent Base 601 Midi-Tower - silver,$141.04 USD,be quiet!,BG027,4260052187012,4260052187012.0,240 mm,532 mm,514 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/7,2/7,0/0,1.0,1,2.0,1.0,2.0,6,3,0,,black silver,False,True,True,True,https://www.amazon.ca/dp/B07GT5HD1Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
281,"be quiet! Silent Base 601 Midi-Tower, Tempered Glass - orange",$196.12 USD,be quiet!,BGW25,4260052187029,4260052187029.0,240 mm,532 mm,514 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/7,2/7,0/0,1.0,1,2.0,1.0,2.0,6,3,0,,"orange, black",True,True,True,True,https://www.amazon.ca/dp/B07GT5NL3T?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
283,"be quiet! Silent Base 601 Midi-Tower, Tempered Glass - black",$199.44 USD,be quiet!,BGW26,4260052187036,4260052187036.0,240 mm,532 mm,514 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/7,2/7,0/0,1.0,1,2.0,1.0,2.0,6,3,0,,black,True,True,True,True,https://www.amazon.ca/dp/B07GT6QKJH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
284,"be quiet! Silent Base 601 Midi-Tower, Tempered Glass - silver",$137.28 USD,be quiet!,BGW27,4260052187043,,240 mm,532 mm,514 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/7,2/7,0/0,1.0,1,2.0,1.0,2.0,6,3,0,,black silver,True,True,True,True,https://www.amazon.ca/dp/B07GT3TB1N?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
286,be quiet! Silent Base 800 Midi-Tower - orange Window,$174.04 USD,be quiet!,BGW01,4260052184318,4260052184318.0,266 mm,495 mm,559 mm,ATX,ATX,400 mm,170 mm,0/0,1/5,2/5,0/0,,,,,,4,7,0,,black,True,True,True,True,https://www.amazon.ca/quiet-BGW01-SILENT-WINDOW-ORANGE/dp/B010Q80XRA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B010Q80XRA
287,be quiet! Silent Base 800 Midi-Tower - black Window,$25.55 USD,be quiet!,BGW02,4260052184325,4260052184325.0,266 mm,495 mm,559 mm,ATX,ATX,400 mm,170 mm,0/0,1/5,2/5,0/0,,,,,,4,7,0,,black,True,True,True,True,https://www.amazon.ca/dp/B011KZVQUG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
289,be quiet! Silent Base 800 Midi-Tower - silver Window,$222.34 USD,be quiet!,BGW03,4260052184332,4260052184332.0,266 mm,495 mm,559 mm,ATX,ATX,400 mm,170 mm,0/0,1/5,2/5,0/0,,,,,,4,7,0,,black,True,True,True,True,https://www.amazon.ca/quiet-BGW03-Silent-Window-Silver/dp/B010QDYFSI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B010QDYFSI
290,be quiet! Silent Base 801 Midi-Tower - orange,$161.0 USD,be quiet!,BG028,4260052187050,4260052187050.0,282 mm,539 mm,507.3 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/8,3/8,0/0,0.0,1,0.0,0.0,1.0,11,5,0,,"orange, black",False,True,True,True,https://www.amazon.ca/be-quiet-BG028-Computer-Case/dp/B07HKT2F2B?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKT2F2B
291,be quiet! Silent Base 801 Midi-Tower - orange Window,$172.2 USD,be quiet!,BGW28,4260052187081,4260052187081.0,282 mm,539 mm,507.3 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/8,3/8,0/0,0.0,1,0.0,0.0,1.0,11,5,0,,"orange, black",True,True,True,True,https://www.amazon.ca/quiet-BGW28-Mid-Tower-Pre-Installed-Tempered/dp/B07HKVBM18?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKVBM18
294,be quiet! Silent Base 801 Midi-Tower - black,$160.31 USD,be quiet!,BG029,4260052187067,4260052187067.0,282 mm,539 mm,507.3 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/8,3/8,0/0,0.0,1,0.0,0.0,1.0,11,5,0,,black,False,True,True,True,https://www.amazon.ca/be-quiet-BG029-Computer-Case/dp/B07HKT39FR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKT39FR
295,be quiet! Silent Base 801 Midi-Tower - black Window,$181.84 USD,be quiet!,BGW29,4260052187098,4260052187043.0,282 mm,539 mm,507.3 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/8,3/8,0/0,0.0,1,0.0,0.0,1.0,11,5,0,,black,True,True,True,True,https://www.amazon.ca/be-quiet-BGW29-Computer-Case/dp/B07HKVBM19?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKVBM19
296,be quiet! Silent Base 801 Midi-Tower - silver,$156.47 USD,be quiet!,BG030,4260052187074,4260052187074.0,282 mm,539 mm,507.3 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/8,3/8,0/0,0.0,1,0.0,0.0,1.0,11,5,0,,black silver,False,True,True,True,https://www.amazon.ca/quiet-Silent-BG030-Mid-Tower-Pre-Installed/dp/B07J6JLW13?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07J6JLW13
297,be quiet! Silent Base 801 Midi-Tower - silver Window,$174.78 USD,be quiet!,BGW30,4260052187104,4260052187104.0,282 mm,539 mm,507.3 mm,E-ATX,ATX,449 mm,185 mm,0/0,0/8,3/8,0/0,0.0,1,0.0,0.0,1.0,11,5,0,,black silver,True,True,True,True,https://www.amazon.ca/quiet-BGW30-Mid-Tower-Pre-Installed-Tempered/dp/B07HKPN3QB?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HKPN3QB
311,"BitFenix Enso Mesh RGB Midi-Tower, Tempered Glass - black",$111.94 USD,BitFenix,BFC-ESM-150-KKWGK-RP,4712883216701,886027015780.0,210 mm,454 mm,489 mm,E-ATX,ATX,340 mm,160 mm,0/0,2/6,0/2,0/0,1.0,0,0.0,1.0,1.0,3,0,0,,black,True,True,True,False,https://www.amazon.ca/BitFenix-BFC-ESM-150-KKWGK-RP-Black-Front-Panel/dp/B07LFZ4SCB?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07LFZ4SCB
312,"BitFenix Enso Mesh RGB Midi-Tower, Tempered Glass - white",$105.9 USD,BitFenix,BFC-ESM-150-WWWGK-RP,4712883216718,886027015797.0,210 mm,454 mm,489 mm,E-ATX,ATX,340 mm,160 mm,0/0,2/6,0/2,0/0,1.0,0,0.0,1.0,1.0,2,0,0,,white,True,True,True,False,https://www.amazon.ca/BitFenix-BFC-ESM-150-WWWGK-RP-White-Front-Panel/dp/B07LG1VRZF?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07LG1VRZF
325,BitFenix Neos Midi-Tower - white/violett Window,$48.02 USD,BitFenix,BFC-NEO-100-WWWKP-RP,4716779445350,886027003619.0,185 mm,470 mm,429 mm,ATX,ATX,300 mm,155 mm,0/0,1/3,0/0,0/0,0.0,0,0.0,0.0,0.0,3,3,0,,"purple, white",True,True,True,False,https://www.amazon.ca/BitFenix-Computer-BFC-NEO-100-WWWKP-RP-White-Purple/dp/B00KRZVMD2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00KRZVMD2
332,"BitFenix Nova Mesh TG Midi-Tower, Tempered Glass - black",$81.44 USD,BitFenix,BFC-NVM-300-KKGSK-RP,4712883217173,886027158777.0,201 mm,465 mm,437 mm,E-ATX,ATX,340 mm,160 mm,0/0,2/6,0/2,0/0,1.0,0,1.0,0.0,1.0,3,0,0,,black,True,True,True,False,https://www.amazon.ca/BitFenix-Black-BFC-NVM-300-KKGSK-RP-Micro-Tempered/dp/B07GCCDQLY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07GCCDQLY
334,"BitFenix Nova TG Midi-Tower, Tempered Glass - black",$70.45 USD,BitFenix,BFX-NTG-100-KKWSK-RP,4712883216442,886027015490.0,201 mm,465 mm,437 mm,ATX,ATX,280 mm,160 mm,0/0,2/3,0/0,0/0,0.0,0,0.0,0.0,0.0,6,3,0,,black,True,True,True,False,https://www.amazon.ca/BitFenix-Black-Gaming-Tower-BFX-NTG-100-KKWSK-RP/dp/B074MHBT3F?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074MHBT3F
335,"BitFenix Nova TG Midi-Tower, Tempered Glass - white",$66.73 USD,BitFenix,BFX-NTG-100-WWWKK-RP,4712883216459,886027015513.0,201 mm,465 mm,437 mm,ATX,ATX,280 mm,160 mm,0/0,2/3,0/0,0/0,0.0,0,0.0,0.0,0.0,6,3,0,,black-and-white,True,True,True,False,https://www.amazon.ca/BitFenix-White-Gaming-Tower-BFX-NTG-100-WWWKK-RP/dp/B074MG7F7G?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074MG7F7G
339,BitFenix Portal Mini-ITX - black,$114.5 USD,BitFenix,BFC-POT-150-KKXKK-RP,4712883216220,,185 mm,411 mm,382 mm,Mini-ITX,SFX,300 mm,125 mm,1/0,1/0,0/0,0/0,1.0,0,0.0,0.0,0.0,3,2,0,,black,False,False,False,False,https://www.amazon.ca/BitFenix-Portal-Support-Aluminium-BFC-POT-150-KKXKK-RP/dp/B06X6KH5VL?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06X6KH5VL
340,BitFenix Portal Mini-ITX - black Window,$70.99 USD,BitFenix,BFC-POT-150-KKWKK-RP,4712883216237,886027015292.0,185 mm,411 mm,382 mm,Mini-ITX,SFX,300 mm,125 mm,1/0,1/0,0/0,0/0,1.0,0,0.0,0.0,0.0,3,2,0,,black,True,False,False,False,https://www.amazon.ca/BitFenix-Portal-Support-Aluminium-BFC-POT-150-KKWKK-RP/dp/B06WGS72YY?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WGS72YY
341,BitFenix Portal Mini-ITX - white,$138.77 USD,BitFenix,BFC-POT-150-WKXKK-RP,4712883216244,,185 mm,411 mm,382 mm,Mini-ITX,SFX,300 mm,125 mm,1/0,1/0,0/0,0/0,1.0,0,0.0,0.0,0.0,3,2,0,,white,False,False,False,False,https://www.amazon.ca/BitFenix-Portal-Support-Aluminium-BFC-POT-150-WKXKK-RP/dp/B06W9MFXFK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06W9MFXFK
358,Carbide Series 100R Mid-Tower,$49.32 USD,Corsair,CC-9011075-WW,5054629455043,843591055710.0,200 mm,430 mm,471 mm,ATX,ATX,Top Slots: 414 Lower Slots: 275 mm,150 mm,0/0,1/3,0/0,0/0,,,,,,0,0,4,,,False,False,False,False,https://www.amazon.ca/dp/B00RORBQNW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
359,Carbide Series 100R Silent Edition Mid-Tower,$58.02 USD,Corsair,CC-9011077-WW,8435910566704,843591056670.0,200 mm,430 mm,471 mm,ATX,ATX,Top Slots: 414 Lower Slots: 275 mm,150 mm,0/0,2/1,0/0,0/0,,,,,,0,0,4,,,False,False,False,True,https://www.amazon.ca/dp/B00RORBQSW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
360,Carbide Series 270R ATX Mid-Tower,$50.77 USD,Corsair,CC-9011106-WW,843591094214,843591094214.0,210 mm,460 mm,509 mm,ATX,ATX,370 mm,170 mm,0/0,1/4,0/2,0/0,,,,,,2,2,0,,,False,False,False,False,https://www.amazon.ca/CORSAIR-CARBIDE-Mid-Tower-Solid-Panel/dp/B01M3Y5FJ2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M3Y5FJ2
361,Carbide Series 270R Windowed ATX Mid-Tower,$58.02 USD,Corsair,CC-9011105-WW,843591094191,843591094191.0,210 mm,460 mm,509 mm,ATX,ATX,370 mm,170 mm,0/0,2/4,0/2,0/0,,,,,,2,2,0,,,False,False,False,False,https://www.amazon.ca/CORSAIR-Carbide-Mid-Tower-Window-Panel/dp/B01M35FI12?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M35FI12
362,Carbide Series 330R Quiet Mid-Tower,$109.95 USD,Corsair,CC-9011024-WW,724627023876,780746742814.0,210 mm,484 mm,495 mm,ATX,ATX,450 mm,160 mm,0/0,1/1,1/0,0/0,,,,,,0,0,4,,,False,False,False,True,https://www.amazon.ca/CORSAIR-CARBIDE-330R-Mid-Tower-Case/dp/B00R0ZHWC2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00R0ZHWC2
363,Carbide Series 330R Titanium Edition Silent Mid-Tower,$101.07 USD,Corsair,CC-9011071-WW,843591051989,843591051989.0,210 mm,484 mm,495 mm,ATX,ATX,450 mm,160 mm,0/0,1/1,1/0,0/0,,,,,,0,0,4,,,False,False,False,True,https://www.amazon.ca/Corsair-Carbide-Titanium-Mid-Tower-CC-9011071-WW/dp/B00NJNDGFG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NJNDGFG
364,Carbide Series Air 240 Arctic White High Airflow MicroATX and Mini-ITX,$79.78 USD,Corsair,CC-9011069-WW,843591052627,843591052627.0,260 mm,320 mm,397 mm,Micro-ATX,ATX,290 mm,120 mm,0/2,3/7,0/0,0/0,,,,,,3,3,0,,arctic white,False,False,False,False,https://www.amazon.ca/Corsair-Carbide-Airflow-MicroATX-Mini-ITX/dp/B00LA6Y5XQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00LA6Y5XQ
365,Carbide Series Air 240 High Airflow MicroATX and Mini-ITX,$79.78 USD,Corsair,CC-9011070-WW,5052184597109,604782947500.0,260 mm,320 mm,397 mm,Micro-ATX,ATX,290 mm,120 mm,0/2,3/7,0/0,0/0,,,,,,3,3,0,,black,False,False,False,False,https://www.amazon.ca/Corsair-Carbide-Airflow-MicroATX-Mini-ITX/dp/B00LA6WXEO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00LA6WXEO
366,Carbide Series Air 540 Arctic White High Airflow ATX Cube,$147.37 USD,Corsair,CC-9011048-WW,803982742384,801940115911.0,332 mm,458 mm,415 mm,E-ATX,ATX,320 mm,170 mm,0/0,0/3,3/2,0/0,,,,,,4,0,2,,,False,False,False,False,https://www.amazon.ca/Corsair-CC-9011048-WW-Windowed-Performance-Computer/dp/B00H8JLM94?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00H8JLM94
367,Carbide Series Air 540 High Airflow ATX Cube,$145.07 USD,Corsair,CC-9011030-WW,34893356784,809394262755.0,332 mm,458 mm,415 mm,E-ATX,ATX,320 mm,170 mm,0/0,0/3,3/2,0/0,,,,,,4,0,2,,,False,False,False,False,https://www.amazon.ca/dp/B00D6GINF4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
368,Carbide Series Clear 400C Compact Mid-Tower,$101.91 USD,Corsair,CC-9011081-WW,843591068529,843591068529.0,215 mm,464 mm,425 mm,E-ATX,ATX,370 mm,170 mm,0/0,1/4,1/2,0/0,,,,,,3,2,0,,black,False,False,False,False,https://www.amazon.ca/Corsair-CC-9011095-WW-Carbide-Compact-Mid-Tower/dp/B01F97W9ZM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01F97W9ZM
369,Carbide Series Clear 400C Compact Mid-Tower — White,$124.31 USD,Corsair,CC-9011095-WW,843591085557,843591085557.0,215 mm,464 mm,425 mm,E-ATX,ATX,370 mm,170 mm,0/0,1/4,1/2,0/0,,,,,,3,2,0,,white,False,False,False,False,https://www.amazon.ca/dp/B01F97W9ZM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
370,Carbide Series Clear 600C Inverse ATX Full-Tower,$140.72 USD,Corsair,CC-9011079-WW,734911503090,734911503090.0,260 mm,535 mm,454 mm,ATX,ATX,370 mm,200 mm,0/0,0/3,3/2,0/0,,,,,,3,2,0,,,False,False,False,False,https://www.amazon.ca/Corsair-Memory-CC-9011079-WW-Carbide-Inverse/dp/B016IAM7D8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016IAM7D8
371,Carbide Series Quiet 400Q Compact Mid-Tower,$78.16 USD,Corsair,CC-9011100-WW,843591092883,843591092883.0,215 mm,464 mm,425 mm,E-ATX,ATX,370 mm,170 mm,0/0,1/4,1/2,0/0,,,,,,3,2,0,,,False,False,False,True,https://www.amazon.ca/dp/B01LE111X8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
372,Carbide Series Quiet 600Q Inverse ATX Full-Tower,$140.72 USD,Corsair,CC-9011080-WW,843591068505,843591068505.0,260 mm,535 mm,454 mm,ATX,ATX,370 mm,200 mm,0/0,0/3,3/2,0/0,,,,,,3,2,0,,,False,False,False,True,https://www.amazon.ca/dp/B016IAM7AQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
373,Carbide Series SPEC-01 Red LED Mid-Tower Gaming,$64.63 USD,Corsair,CC-9011050-WW,801940115928,808112930457.0,200 mm,428 mm,447 mm,ATX,ATX,414 mm,150 mm,0/0,1/3,0/0,0/0,,,,,,0,0,4,,black,False,False,False,False,https://www.amazon.ca/dp/B00I6BJATW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
375,Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Red,$98.08 USD,Corsair,CC-9011085-WW,7841449279632,843591068604.0,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,black/red,False,False,False,False,https://www.amazon.ca/dp/B017XPPH9I?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
376,Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Silver,$110.69 USD,Corsair,CC-9011084-WW,843591068581,843591068581.0,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,black/silver,False,False,False,False,https://www.amazon.ca/dp/B017XPPB1M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
377,Carbide Series SPEC-ALPHA Mid-Tower Gaming — Black/Yellow,$61.65 USD,Corsair,CC-9011094-WW,843591084871,843591084871.0,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,black/yellow,False,False,False,False,https://www.amazon.ca/CORSAIR-CARBIDE-SPEC-ALPHA-Mid-Tower-Gaming/dp/B01HUFNX4M?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HUFNX4M
378,Carbide Series SPEC-ALPHA Mid-Tower Gaming — White/Red,$169.09 USD,Corsair,CC-9011083-WW,843591068567,843591068567.0,220 mm,474 mm,518 mm,ATX,ATX,380 mm,156 mm,0/0,3/5,0/0,0/0,,,,,,4,3,0,,white/red,False,False,False,False,https://www.amazon.ca/dp/B017XPPHGG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
379,Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black,$94.29 USD,Corsair,CC-9011121-WW,843591062176,843591062176.0,232 mm,516 mm,495 mm,ATX,ATX,370 mm,170 mm,0/0,2/6,0/4,0/0,,,,,,2,3,0,,black,False,False,False,False,https://www.amazon.ca/CORSAIR-Carbide-SPEC-Omega-Mid-Tower-Tempered/dp/B077GCKBV3?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077GCKBV3
380,Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black/Red,$79.78 USD,Corsair,CC-9011120-WW,843591062152,843591062152.0,232 mm,516 mm,495 mm,ATX,ATX,370 mm,170 mm,0/0,2/6,0/4,0/0,,,,,,2,3,0,,black/red,False,False,False,False,https://www.amazon.ca/CORSAIR-Carbide-SPEC-Omega-Mid-Tower-Tempered/dp/B077G34G9W?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077G34G9W
381,Carbide Series SPEC-OMEGA Tempered Glass Mid-Tower ATX Gaming - Black/White,$76.16 USD,Corsair,CC-9011119-WW,843591062138,843591062138.0,232 mm,516 mm,495 mm,ATX,ATX,370 mm,170 mm,0/0,2/6,0/4,0/0,,,,,,2,3,0,,black/white,False,False,False,False,https://www.amazon.ca/CORSAIR-CARBIDE-SPEC-OMEGA-Mid-Tower-Tempered/dp/B077G2SW34?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B077G2SW34
398,"Cooler Master Cosmos C700M Big Tower - Tempered Glass, black",$580.29 USD,Cooler Master,MCC-C700M-MG5N-S00,4719512075036,884102047527.0,306 mm,650 mm,651 mm,E-ATX,ATX,490 mm,198 mm,0/0,0/9,4/9,0/0,0.0,2,0.0,0.0,0.0,4,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07H6MKSXZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
400,Cooler Master Elite 130 RC-130-KKN1 Mini-ITX - black,$79.07 USD,Cooler Master,RC-130-KKN1,4719512045176,884102024221.0,240 mm,377.5 mm,205 mm,Mini-ITX,ATX,343 mm,65 mm,1/1,1/1,0/0,0/0,1.0,0,0.0,0.0,0.0,5,3,0,,black,False,False,False,False,https://www.amazon.ca/dp/B00DJ6A88G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
404,"Cooler Master MasterBox 540 Midi-Tower, ARGB, Tempered Glass - black",$138.1 USD,Cooler Master,MB540-KGNN-S00,4719512117927,,209 mm,499 mm,498 mm,E-ATX,ATX,410 mm,165 mm,0/0,1/7,0/4,0/0,1.0,0,0.0,2.0,2.0,2,0,0,,black,True,False,True,False,https://www.amazon.ca/dp/B08XTSH2JM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
411,"Cooler Master MasterBox K500 Midi-Tower, Tempered Glass - black",$84.51 USD,Cooler Master,MCB-K500D-KGNN-S00,4719512071120,884102043628.0,210 mm,491 mm,455 mm,ATX,ATX,400 mm,160 mm,0/0,3/6,0/2,0/0,0.0,1,0.0,1.0,0.0,2,0,0,,black,True,True,True,False,https://www.amazon.ca/dp/B07B5XNBQN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
412,Cooler Master MasterBox Lite 3.1 TG Midi-Tower - black Window,$58.02 USD,Cooler Master,MCW-L3S3-KGNN-00,4719512064542,,209 mm,381 mm,456 mm,Micro-ATX,ATX,380 mm,158 mm,0/0,1/3,0/0,0/0,1.0,0,1.0,0.0,0.0,1,2,0,,black,True,True,True,False,https://www.amazon.ca/Cooler-Master-MCW-L3S3-KGNN-00-Mirror-Customizable/dp/B075MYYFC8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075MYYFC8
413,"Cooler Master MasterBox MB500, TG, black",$93.3 USD,Cooler Master,MCB-B500D-KGNN-S00,4719512067345,884102039867.0,211 mm,475 mm,494 mm,ATX,ATX,400 mm,160 mm,0/0,3/6,0/2,0/0,0.0,0,0.0,0.0,0.0,2,2,0,,black,True,True,True,False,https://www.amazon.ca/dp/B078BDMZ1Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
