,Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Product Page
502,EVGA SuperNOVA 850 P2,$130.56 USD,EVGA,220-P2-0850-X1,843368034733,843368034733.0,850 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B010HWDOH6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
503,EVGA SuperNOVA 850 T2,$279.26 USD,EVGA,220-T2-0850-X1,843368035129,843368035129.0,850 W,ATX,80 Plus Titanium,https://www.amazon.ca/dp/B018JYHGOQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
510,EVGA SuperNOVA G3,$94.29 USD,EVGA,220-G3-0650-Y2,4250812414984,,650 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-SuperNOVA-Modular-Warranty-220-G3-0650-Y1/dp/B01LYGFRL6?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LYGFRL6
511,EVGA SuperNOVA G3,$116.05 USD,EVGA,220-G3-0850-X2,4250812415066,,850 W,ATX,80 Plus Gold,https://www.amazon.ca/EVGA-SuperNOVA-Modular-Warranty-220-G3-0850-X1/dp/B01LY4OJYJ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LY4OJYJ
601,MSI MEG Ai1300P PCIe5,$274.9 USD,MSI,306-7ZP4A11-CE0,4719072970260,,1300 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B0B433ZCRP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
602,MSI MPG A1000G PCIe5,$159.57 USD,MSI,306-7ZP7C11-CE0,4719072972196,824142293126.0,1000 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B0B434DB7Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
603,MSI MPG A850G PCIe5,$123.31 USD,MSI,306-7ZP7B11-CE0,4719072972189,824142293058.0,850 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B0B4345YV7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
606,NZXT E850 Modular,$134.16 USD,NZXT,NP-1PM-E850A-EU,5060301694358,,850 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B07CGCFWJY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
609,PHANTEKS AMP 80 PLUS Gold,$105.22 USD,PHANTEKS,PH-P750G,886523500834,,750 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07W5RSX99?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
611,PHANTEKS AMP v2 80 PLUS Gold,$144.34 USD,PHANTEKS,PH-P1000G_02,886523510123,,1000 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B0BWPL4N3Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
612,PHANTEKS Revolt Pro 80 PLUS Gold,$118.29 USD,PHANTEKS,PH-P850GC_EU,886523500292,,850 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07JVC234Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
613,PHANTEKS Revolt Pro 80 PLUS Gold,$145.68 USD,PHANTEKS,PH-P1000GC_EU,886523500285,,1000 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07J64QRVH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
617,PHANTEKS Revolt SFX 80 PLUS Platinum,$163.2 USD,PHANTEKS,PH-P850PSF_02,886523510116,,850 W,SFX,80 PLUS Platinum,https://www.amazon.ca/dp/B0BVNY4LKY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
618,PHANTEKS Revolt X 80 PLUS Platinum,$208.51 USD,PHANTEKS,PH-P1000PS_EU,886523500377,,1000 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07H7LHKBR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
619,PHANTEKS Revolt X 80 PLUS Platinum,$241.32 USD,PHANTEKS,PH-P1200PS_EU,886523500360,,1200 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07H7K5C8W?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
622,Seasonic FOCUS 650 GOLD,$86.86 USD,Seasonic,SSR-650FM,4711173873396,4711173873396.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/Seasonic-SSR-650FM-Supply-Semi-Modular-warrenty/dp/B07793TFW8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07793TFW8
623,Seasonic FOCUS 750 GOLD,$90.66 USD,Seasonic,SSR-750FM,4711173873402,4711173873402.0,750 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B0778XF1HL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
624,Seasonic Focus 80 PLUS Gold,$72.53 USD,Seasonic,SSR-450FM,4711173873372,4711173873372.0,450 W,ATX,80 PLUS Gold,https://www.amazon.ca/Seasonic-SSR-450FM-Supply-Semi-Modular-Warranty/dp/B0778XB7CK?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0778XB7CK
625,Seasonic Focus 80 PLUS Gold,$187.13 USD,Seasonic,FOCUS-SGX-750,4711173877110,,750 W,"ATX, SFX",80 PLUS Gold,https://www.amazon.ca/dp/B09TDV18HG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
628,Seasonic Focus Plus,$145.07 USD,Seasonic,SSR-850FX,4711173873570,4711173873570.0,850 W,ATX,80 Plus Gold,https://www.amazon.ca/dp/B073H3ZZQZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
629,Seasonic Focus Plus Gold,$73.95 USD,Seasonic,SSR-550FX,4711173873341,4711173873341.0,550 W,ATX,80 PLUS Gold,https://www.amazon.ca/Seasonic-SSR-550FX-ATX12V-Modular-Compact/dp/B073GY89G5?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B073GY89G5
630,Seasonic Focus Plus Gold,$76.16 USD,Seasonic,SSR-650FX,4711173873358,4711173873358.0,650 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B073H33X7R?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
631,Seasonic Focus Plus Gold,$83.41 USD,Seasonic,SSR-750FX,4711173873365,4711173873365.0,750 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B073GWKDVM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
632,Seasonic Focus Plus Gold,$177.78 USD,Seasonic,SSR-1000FX,4711173874010,4711173874010.0,1000 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B078T1XSJ1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
634,Seasonic Focus Plus Platinum,$103.06 USD,Seasonic,SSR-550PX,4711173873563,4711173873563.0,550 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B074N8YBK9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
635,Seasonic Focus PX 80 PLUS Platinum,$130.22 USD,Seasonic,FOCUS-PX-550,4711173874669,,550 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07W92T29L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
636,Seasonic Focus PX 80 PLUS Platinum,$137.81 USD,Seasonic,FOCUS-PX-850,4711173874638,,850 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07W4PMQDJ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
637,Seasonic Focus PX 80 Plus Platinum 650 Watt,$137.81 USD,Seasonic,FOCUS-PX-650,4711173874652,,650 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07W7YD7D1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
639,Seasonic Focus SGX 80 PLUS Gold SFX,$123.31 USD,Seasonic,SSR-650SGX,4711173874522,,650 W,"ATX, SFX-L",80 PLUS Gold,https://www.amazon.ca/dp/B07JVQQK69?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
641,Seasonic Focus+,$113.88 USD,Seasonic,SSR-650PX,4711173873556,4711173873556.0,650 W,ATX,80 Plus Platinum,https://www.amazon.ca/Seasonic-Platinum-SSR-650PX-Modular-Warranty/dp/B074N8RG74?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074N8RG74
642,Seasonic Focus+,$140.86 USD,Seasonic,SSR-750PX,4711173873549,4711173873549.0,750 W,ATX,80 Plus Platinum,https://www.amazon.ca/Seasonic-SSR-750PX-Power-Supply/dp/B074NB1PBZ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B074NB1PBZ
643,Seasonic Focus+,$145.07 USD,Seasonic,SSR-850PX,4711173873532,4711173873532.0,850 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B074N9FNV2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
661,Seasonic M12II Evo 80 PLUS Bronze,$54.4 USD,Seasonic,SS-520GM F3,4711173870760,882016000805.0,520 W,ATX,80 PLUS Bronze,https://www.amazon.ca/Seasonic-M12II-Bronze-80Plus-Supply/dp/B0038T0V8Q?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0038T0V8Q
672,Seasonic Platinum 760,$31.67 USD,Seasonic,SS-760XP2,863121572289,239429866526.0,760 W,ATX,80 Plus Platinum,https://www.amazon.ca/dp/B00R10LKK6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
679,Seasonic Prime,$122.38 USD,Seasonic,SSR-550PD2,4711173873853,4711173873853.0,550 W,ATX,80 Plus Platinum,https://www.amazon.ca/Seasonic-Platinum-SSR-550PD2-Modular-Warranty/dp/B078954H55?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B078954H55
680,Seasonic Prime,$193.36 USD,Seasonic,SSR-750TR,4711173873822,4711173873822.0,750 W,ATX,80 Plus Titanium,https://www.amazon.ca/Seasonic-Titanium-Poweron-Self-Warranty-SSR-750TR/dp/B075M3WC9K?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075M3WC9K
681,Seasonic Prime,$211.82 USD,Seasonic,SSR-850TR,4711173873839,4711173873839.0,850 W,ATX,80 Plus Titanium,https://www.amazon.ca/dp/B075M3R4YB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
682,Seasonic Prime,$261.13 USD,Seasonic,SSR-1000TR,4711173873846,4711173873846.0,1000 W,ATX,80 Plus Titanium,https://www.amazon.ca/Seasonic-Titanium-Modular-Warranty-SSR-1000TR/dp/B075M8FH4C?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075M8FH4C
686,Seasonic Prime 80 PLUS Gold,$239.37 USD,Seasonic,SSR-1300GD,4711173873969,4711173873969.0,1300 W,ATX,80 PLUS Gold,https://www.amazon.ca/Seasonic-SSR-1300GD-ATX12V-Modular-Warranty/dp/B0787HCJY1?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0787HCJY1
687,Seasonic Prime 80 PLUS Platinum,$280.73 USD,Seasonic,SSR-1300PD,4711173873907,4711173873907.0,1300 W,ATX,80 PLUS Platinum,https://www.amazon.ca/Seasonic-Platinum-SSR-1300PD-Modular-Warranty/dp/B0788DL6VN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0788DL6VN
688,Seasonic Prime Fanless 80 PLUS Titanium,$224.86 USD,Seasonic,SSR-600TL,4711173873310,4711173873310.0,600 W,ATX,80 PLUS Titanium,https://www.amazon.ca/Seasonic-Titanium-SSR-600TL-Fanless-Warranty/dp/B01N9OLE9X?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N9OLE9X
689,Seasonic Prime Fanless PX,$141.19 USD,Seasonic,PRIME-PX-450,4711173875604,,450 W,ATX,80 PLUS Titanium,https://www.amazon.ca/dp/B086PHT9MC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
690,Seasonic Prime Fanless PX,$158.38 USD,Seasonic,PRIME-PX-500,4711173875598,,500 W,ATX,80 PLUS Titanium,https://www.amazon.ca/dp/B0869RSK7X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
694,Seasonic Prime Snow Silent 80 PLUS Gold,$115.22 USD,Seasonic,SSR-550G,4711173874027,,550 W,ATX,80 PLUS Gold,https://www.amazon.ca/Seasonic-550-SSR-550GD2-Modular-Warranty/dp/B07BX7RZ3H?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BX7RZ3H
695,Seasonic Prime Snow Silent 80 PLUS Platinum,$155.26 USD,Seasonic,SSR-650P,4711173874034,,650 W,ATX,80 PLUS Platinum,https://www.amazon.ca/Seasonic-650-Platinum-SSR-650PD2-Warranty/dp/B07BYF9S3N?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BYF9S3N
696,Seasonic Prime Snow Silent 80 PLUS Titanium,$176.06 USD,Seasonic,SSR-750T,4711173873730,,750 W,ATX,80 PLUS Titanium,https://www.amazon.ca/Seasonic-Titanium-SSR-750TR-Modular-Warranty/dp/B07BYX1SL9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BYX1SL9
697,Seasonic Prime TX 80 PLUS Titanium,$217.61 USD,Seasonic,PRIME-TX-850,4711173874126,,850 W,ATX,80 PLUS Titanium,https://www.amazon.ca/dp/B07X9VYLHH?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
698,Seasonic Prime Ultra,$131.29 USD,Seasonic,SSR-650GD2,4711173873921,4711173873921.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/Seasonic-SSR-650GD2-ATX12V-Modular-Warranty/dp/B075M5322P?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075M5322P
701,Seasonic Prime Ultra 80 PLUS Gold,$112.43 USD,Seasonic,SSR-550GD,4711173873914,4711173873914.0,550 W,ATX,80 PLUS Gold,https://www.amazon.ca/Seasonic-SSR-550GD2-ATX12V-Modular-Warranty/dp/B0778Z6TQ6?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0778Z6TQ6
703,Seasonic Prime Ultra 80 PLUS Platinum,$153.55 USD,Seasonic,SSR-750PD2,4711173873877,,750 W,ATX,80 PLUS Platinum,https://www.amazon.ca/Seasonic-Platinum-SSR-750PD2-Warranty-Packaging/dp/B075M4SJL6?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075M4SJL6
704,Seasonic Prime Ultra 80 PLUS Platinum,$213.74 USD,Seasonic,SSR-1000PD2,4711173873891,,1000 W,ATX,80 PLUS Platinum,https://www.amazon.ca/Seasonic-Platinum-SSR-1000PD-Modular-Warranty/dp/B075M3B1R7?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075M3B1R7
712,"Seasonic S12II, GB 80 PLUS Bronze",$50.77 USD,Seasonic,SS-520GB F3,4711173870784,882016000829.0,520 W,ATX,80 PLUS Bronze,https://www.amazon.ca/Seasonic-Bronze-80Plus-Power-Supply/dp/B00390P1NO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00390P1NO
724,Seasonic X-650,$105.48 USD,Seasonic,SS-650KM3,320127544066,4711173870722.0,650 W,ATX,80 Plus Gold,https://www.amazon.ca/SeaSonic-650W-Power-Supply-SS-650KM3/dp/B002VA7RPS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B002VA7RPS
740,SilverStone SST-FX350-G Flex Series 80 PLUS Gold,$90.82 USD,Silverstone,SST-FX350-G,4710007225912,844761017897.0,350 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B07QGMX5DW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
752,Silverstone SST-NJ450-SXL Nightjar-Series,$163.66 USD,Silverstone,SST-NJ450-SXL,4710007226186,,450 W,"ATX, SFX-L",80 PLUS Platinum,https://www.amazon.ca/SilverStone-Technology-SST-NJ450-SXL-Fanless-Platinum/dp/B07F6JZ9NQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07F6JZ9NQ
757,SilverStone SST-ST1000-PTS Strider Platinum Series 80 PLUS Platinum,$268.19 USD,Silverstone,SST-ST1000-PTS,4710007226575,844761016579.0,1000 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07N4RZRPY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
761,SilverStone SST-ST1200-PTS Strider Platinum Series 80 PLUS Platinum,$261.13 USD,Silverstone,SST-ST1200-PTS,4710007226582,844761016586.0,1200 W,ATX,80 PLUS Platinum,https://www.amazon.ca/dp/B07N4QD7RM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
771,Silverstone SST-ST45SF-G V2.0 Strider Serie SFX Gold,$115.42 USD,Silverstone,SST-ST45SF-G V2.0,4710713968820,844761008826.0,450 W,SFX,80 Plus Gold,https://www.amazon.ca/dp/B008VQ2Y4K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
806,Silverstone SST-SX500-G SFX 80 PLUS Gold,$92.3 USD,Silverstone,SST-SX500-G,4710007225332,,500 W,SFX,80 PLUS Gold,https://www.amazon.ca/SilverStone-Technology-SST-SX500-G-Improved-Capacitors/dp/B075M5FRQS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075M5FRQS
810,Silverstone SST-SX650-G SFX 80 PLUS Gold,$133.66 USD,Silverstone,SST-SX650-G,4710007225349,,650 W,SFX,80 PLUS Gold,https://www.amazon.ca/SilverStone-Technology-SST-SX650-G-Improved-Capacitors/dp/B075M5T9Q8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075M5T9Q8
818,SilverStone SST-TX500-G TFX,$209.93 USD,Silverstone,SST-TX500-G,4710679810454,844761020453.0,500 W,TFX,80 PLUS Gold,https://www.amazon.ca/dp/B08WT6WCCQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
874,Thermaltake Smart Pro RGB 80Plus Bronze modular,$72.53 USD,Thermaltake,PS-SPR-0650FPCBEU-R,4717964407382,,650 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01N5LEHTS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
875,Thermaltake Smart Pro RGB 80Plus Bronze modular,$113.15 USD,Thermaltake,PS-SPR-0850FPCBEU-R,4717964407429,,850 W,ATX,80 Plus Bronze,https://www.amazon.ca/dp/B01N2ZU83P?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
885,Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,$98.98 USD,Thermaltake,PS-TPG-0750FPCGEU-R,4717964406903,,750 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B01N4C39AR?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
886,Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,$105.17 USD,Thermaltake,PS-TPG-0650FPCGEU-R,4717964406927,,650 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B01N7GD5HN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
887,Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,$147.97 USD,Thermaltake,PS-TPG-0850FPCGEU-R,4717964406880,,850 W,ATX,80 PLUS Gold,https://www.amazon.ca/dp/B01MQU6CWU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
895,Thermaltake TR2 S,$40.61 USD,Thermaltake,PS-TRS-0700NPCWEU-2,4717964401908,,700 W,ATX,80 Plus,https://www.amazon.ca/dp/B014W3EMAO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
901,XFX PRO1000W Black Edition Full Modular,$267.26 USD,XFX,P1-1000-BELX,778656055636,,1000 W,ATX,80 Plus Platinum,https://www.amazon.ca/1000w-Black-Modular-80plus-Platinum/dp/B0067G6PA0?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0067G6PA0
