,Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Product Page
120,Crucial Ballistix Sport AT series,$160.32 USD,Crucial,BLS2K16G4D32AEST,649528789266,,DDR4-3200,32 GB,3200,16-18-18,2,https://www.amazon.ca/Crucial-Ballistix-Desktop-Gaming-BLS2K16G4D32AEST/dp/B07MNJTVF2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07MNJTVF2
122,Crucial Ballistix Sport LT DDR4-2400 CL16,$133.59 USD,Ballistix,BLS2C16G4D240FSB,649528773852,,DDR4-2400,32 GB,2400,,1,https://www.amazon.ca/dp/B01B4F3IJY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
123,Crucial Ballistix Sport LT DDR4-2400 red CL16,$271.09 USD,Ballistix,BLS4C16G4D240FSE,649528777300,,DDR4-2400,64 GB,2400,,1,https://www.amazon.ca/dp/B01EII64B8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
125,Crucial Ballistix Sport LT grey DDR4-2666 CL16,$19.33 USD,Ballistix,BLS4G4D26BFSB,649528781628,649528781628.0,DDR4-2666,4 GB,2666,,1,https://www.amazon.ca/dp/B01N6QJEBM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
126,Crucial Ballistix Sport LT grey DDR4-2666 CL16,$35.42 USD,Ballistix,BLS8G4D26BFSB,649528781987,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B01N5P7660?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
127,Crucial Ballistix Sport LT grey DDR4-2666 CL16,$66.31 USD,Ballistix,BLS16G4D26BFSB,649528782168,649528782168.0,DDR4-2666,16 GB,2666,,1,https://www.amazon.ca/dp/B01MUAJDSS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
129,Crucial Ballistix Sport LT red DDR4-2666 CL16,$57.12 USD,Ballistix,BLS8G4D26BFSE,649528781871,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B01N5P755B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
130,Crucial Ballistix Sport LT series grey,$79.58 USD,Crucial,BLS2K8G4D32AESBK,649528789129,,DDR4-3200,16 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MNJP6RW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
131,Crucial Ballistix Sport LT series grey,$153.77 USD,Crucial,BLS2K16G4D32AESB,649528789143,,DDR4-3200,32 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MR1HWXT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
132,"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 16 GB Kit",$112.01 USD,Crucial,BLS2C8G4D240FSB,649528771360,,DDR4-2400,16 GB,2400,16-16-16,2,https://www.amazon.ca/dp/B00UFF7Y4A?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
133,"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 32 GB Kit",$225.58 USD,Crucial,BLS4C8G4D240FSB,649528771384,,DDR4-2400,32 GB,2400,16-16-16,4,https://www.amazon.ca/dp/B00UFF84G2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
134,"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB",$66.13 USD,Crucial,BLS8G4D240FSB,649528771308,,DDR4-2400,8 GB,2400,16-16-16,1,https://www.amazon.ca/dp/B00UFBZOVE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
135,"Crucial Ballistix Sport LT Series grey DDR4-2400, CL16 - 8 GB Kit",$83.41 USD,Crucial,BLS2C4G4D240FSB,649528771353,,DDR4-2400,8 GB,2400,16-16-16,2,https://www.amazon.ca/Ballistix-Sport-4GBx2-PC4-19200-288-Pin/dp/B00UFBZOLO?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UFBZOLO
136,Crucial Ballistix Sport LT series red,$79.58 USD,Crucial,BLS2K8G4D32AESEK,649528789181,,DDR4-3200,16 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MNJKPSK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
137,Crucial Ballistix Sport LT series red,$154.14 USD,Crucial,BLS2K16G4D32AESE,649528789198,,DDR4-3200,32 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07MNJNSQ9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
139,"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB",$70.81 USD,Crucial,BLS8G4D240FSE,649528777232,,DDR4-2400,8 GB,2400,16-16-16,1,https://www.amazon.ca/dp/B01DPSQOO4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
140,"Crucial Ballistix Sport LT Series red, DDR4-2400, CL16 - 8 GB Kit",$40.19 USD,Crucial,BLS2C4G4D240FSE,649528777256,,DDR4-2400,8 GB,2400,16-16-16,2,https://www.amazon.ca/dp/B01F4Z4OPW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
141,Crucial Ballistix Sport LT series white,$79.58 USD,Crucial,BLS2K8G4D32AESCK,649528789068,,DDR4-3200,16 GB,3200,16-18-18,2,https://www.amazon.ca/dp/B07M9HZFP2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
142,Crucial Ballistix Sport LT series white,$143.62 USD,Crucial,BLS2K16G4D32AESC,649528789082,,DDR4-3200,32 GB,3200,16-18-18,2,https://www.amazon.ca/Crucial-Ballistix-Desktop-Gaming-BLS2K16G4D32AESC/dp/B07M5RKH5Z?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07M5RKH5Z
144,"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 32 GB Kit",$148.3 USD,Crucial,BLS2C16G4D240FSC,649528774347,,DDR4-2400,32 GB,2400,16-16-16,2,https://www.amazon.ca/Ballistix-16GBx2-PC4-19200-288-Pin-BLS2K16G4D240FSC/dp/B01AG9EZ6E?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AG9EZ6E
145,"Crucial Ballistix Sport LT Series white DDR4-2400, CL16 - 8 GB Kit",$40.19 USD,Crucial,BLS2C4G4D240FSC,649528774323,,DDR4-2400,8 GB,2400,16-16-16,2,https://www.amazon.ca/dp/B01AG9F0G8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
146,"Crucial Ballistix Sport LT Series white, DDR4-2400, CL16 - 8 GB",$63.12 USD,Crucial,BLS8G4D240FSC,649528774248,,DDR4-2400,8 GB,2400,16-16-16,1,https://www.amazon.ca/dp/B0198QDLXO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
148,Crucial Ballistix Sport LT white DDR4-2666 CL16,$19.57 USD,Ballistix,BLS4G4D26BFSC,649528781727,649528781727.0,DDR4-2666,4 GB,2666,,1,https://www.amazon.ca/dp/B01N5P5MMD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
149,Crucial Ballistix Sport LT white DDR4-2666 CL16,$89.96 USD,Ballistix,BLS8G4D26BFSC,649528781772,,DDR4-2666,8 GB,2666,,1,https://www.amazon.ca/dp/B01MS79QSP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
154,Crucial Ballistix Tactical DDR3-1866 CL9,$120.41 USD,Ballistix,BLT2CP8G3D1869DT1TX0,649528765468,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/Ballistix-Tactical-PC3-14900-240-Pin-Memory/dp/B00DVISMCG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00DVISMCG
156,Crucial Ballistix Tactical DDR4-3000 CL15,$34.61 USD,Ballistix,BLT4G4D30AETA,649528778772,,DDR4-3000,4 GB,3000,,1,https://www.amazon.ca/Ballistix-Tactical-Single-PC4-24000-288-Pin/dp/B01GZ1MW2Q?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01GZ1MW2Q
158,"Crucial Ballistix Tactical, DDR4-3000, CL16 - 16 GB Kit",$207.45 USD,Crucial,BLT2C8G4D30AETA,649528778833,,DDR4-3000,16 GB,3000,16,2,https://www.amazon.ca/Ballistix-Tactical-PC4-21300-288-Pin-Memory/dp/B01HDUVNRI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HDUVNRI
160,Crucial DDR4-2133 CL15,$72.13 USD,Crucial,CT8G4DFS8213,649528775849,,DDR4-2133,8 GB,2133,,1,https://www.amazon.ca/Crucial-Single-PC4-17000-Unbuffered-288-Pin/dp/B01BIWLFGQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01BIWLFGQ
161,Crucial DDR5-4800,$29.12 USD,Crucial,CT2K8G48C40U5,649528905611,,DDR5-4800,16 GB,4800,40-39-39,2,https://www.amazon.ca/dp/B09HWFZZM4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
162,Crucial DDR5-4800,$47.08 USD,Crucial,CT2K16G48C40U5,649528905628,,DDR5-4800,32 GB,4800,40-39-39,2,https://www.amazon.ca/dp/B09HW2JNHX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
163,Crucial DDR5-4800,$87.12 USD,Crucial,CT2K32G48C40U5,649528905635,,DDR5-4800,64 GB,4800,40-39-39,2,https://www.amazon.ca/dp/B09HW97JVF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
173,G.Skill Aegis DDR4 DDR4-2400 8GB,$32.54 USD,G.Skill,F4-2400C15S-8GIS,848354019633,848354019633.0,DDR4-2400,8 GB,2400,15-15-15-35-2N,1,https://www.amazon.ca/dp/B01CBYMSRA?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
186,G.Skill Ripjaws V DDR4-3200 16GB,$142.72 USD,G.Skill,F4-3200C15D-16GVR,848354019459,848354019459.0,DDR4-3200,16 GB,3200,15-15-15-35-2N,2,https://www.amazon.ca/dp/B01C6XPWFG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
205,G.Skill RipJaws V Series,$147.28 USD,G.Skill,F4-3200C16D-32GVK,4719692007018,848354019701.0,DDR4-3200,32 GB,3200,16-18-18-38,2,https://www.amazon.ca/dp/B0171GQR0C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
211,G.Skill Sniper X Series,$78.33 USD,G.Skill,F4-3200C16D-16GSXKB,4719692019622,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/G-SKILL-F4-3200C16D-16GSXKB-288-Pin-PC4-25600-Desktop/dp/B079ZDC4R2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079ZDC4R2
212,G.Skill Sniper X Series,$78.33 USD,G.Skill,F4-3200C16D-16GSXFB,4719692019639,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/G-SKILL-F4-3200C16D-16GSXFB-288-Pin-PC4-25600-Desktop/dp/B079ZMQWGX?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079ZMQWGX
213,G.Skill Sniper X Series,$94.98 USD,G.Skill,F4-3200C16D-16GSXWB,4719692019615,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/G-SKILL-F4-3200C16D-16GSXWB-288-Pin-PC4-25600-Desktop/dp/B079ZD92NR?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B079ZD92NR
223,G.Skill Trident Z DDR4-3200 16GB,$58.02 USD,G.Skill,F4-3200C16D-16GTZSK,848354023111,848354023111.0,DDR4-3200,16 GB,3200,16-18-18-38-2N,2,https://www.amazon.ca/dp/B01HFR8XW2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
224,G.Skill Trident Z DDR4-3200 16GB,$69.78 USD,G.Skill,F4-3200C16D-16GTZKO,4719692013149,,DDR4-3200,16 GB,3200,16-18-18-38-2N,2,https://www.amazon.ca/G-SKILL-F4-3200C16D-16GTZKO-Trident-288-PinDDR4-3200MHz-Orange/dp/B01JUB8T5W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JUB8T5W
225,G.Skill Trident Z DDR4-3200 16GB,$82.17 USD,G.Skill,F4-3200C16D-16GTZKY,4719692013088,,DDR4-3200,16 GB,3200,16-18-18-38-2N,2,https://www.amazon.ca/G-SKILL-F4-3200C16D-16GTZKY-Trident-288-PinDDR4-3200MHz-Yellow/dp/B01JUB8RXG?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JUB8RXG
226,G.Skill Trident Z DDR4-3200 16GB,$88.85 USD,G.Skill,F4-3200C16D-16GTZKW,848354023074,,DDR4-3200,16 GB,3200,16-18-18-38-2N,2,https://www.amazon.ca/dp/B01JUB8QD2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
227,G.Skill Trident Z DDR4-3200 16GB,$89.2 USD,G.Skill,F4-3200C15D-16GTZKW,4719692013170,848354023074.0,DDR4-3200,16 GB,3200,15-15-15-35-2N,2,https://www.amazon.ca/dp/B01JUB8QD2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
228,G.Skill Trident Z DDR4-3200 16GB,$90.35 USD,G.Skill,F4-3200C16D-16GTZB,848354015550,,DDR4-3200,16 GB,3200,16-18-18-38-2N,2,https://www.amazon.ca/dp/B015FY3BJ2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
229,G.Skill Trident Z DDR4-3200 16GB,$107.15 USD,G.Skill,F4-3200C16D-16GTZSW,848354023104,848354023104.0,DDR4-3200,16 GB,3200,16-18-18-38-2N,2,https://www.amazon.ca/G-SKILL-F4-3200C16D-16GTZSW-Trident-288-PinDDR4-3200MHz-Silver/dp/B01JG4ILCE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JG4ILCE
245,G.Skill Trident Z DDR4-3200 32GB,$58.02 USD,G.Skill,F4-3200C16D-32GTZSK,4719692013118,,DDR4-3200,32 GB,3200,16-18-18-38-2N,2,https://www.amazon.ca/dp/B01HFR8XW2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
281,G.Skill Trident Z RGB DDR4-3200 16GB,$68.17 USD,G.Skill,F4-3200C16D-16GTZR,848354025191,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/dp/B01MTDEYHU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
287,G.Skill Trident Z RGB Series,$122.38 USD,G.Skill,F4-3600C17D-16GTZR,4719692015235,848354025238.0,DDR4-3600,16 GB,3600,17-18-18-38,2,https://www.amazon.ca/dp/B01N4V82FW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
308,Gigabyte Aorus RGB Memory,$190.43 USD,Gigabyte,GP-AR32C16S8K2HU416RD,4719331804886,,DDR4-3200,16 GB,3200,16-18-18-38,2,https://www.amazon.ca/GIGABYTE-3200MHz-Exclusive-Modules-GP-AR32C16S8K2HU416RD/dp/B07NPZJW96?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NPZJW96
309,HyperX Fury blue DDR3-1600 CL10,$30.6 USD,HyperX,HX316C10F/4,740617230376,740617230376.0,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B00J8E92R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
310,HyperX Fury blue DDR3-1600 CL10,$46.06 USD,HyperX,HX316C10F/8,740617230383,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E92M6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
311,HyperX Fury blue DDR3-1600 CL10,$64.99 USD,HyperX,HX316C10FK2/8,740617230444,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8ZLK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
312,HyperX Fury blue DDR3-1600 CL10,$82.68 USD,HyperX,HX316C10FK2/16,740617230437,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8YES?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
313,HyperX Fury blue DDR3-1866 CL10,$30.44 USD,HyperX,HX318C10F/4,740617230536,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E91BI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
314,HyperX Fury blue DDR3-1866 CL10,$68.19 USD,HyperX,HX318C10FK2/8,740617230604,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00T8M8JGI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
315,HyperX Fury blue DDR3-1866 CL10,$72.53 USD,HyperX,HX318C10F/8,740617230543,,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E91UO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
316,HyperX Fury blue DDR3-1866 CL10,$100.81 USD,HyperX,HX318C10FK2/16,740617230598,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/dp/B00J8E910Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
317,HyperX Fury red DDR3-1600 CL10,$73.98 USD,HyperX,HX316C10FR/8,740617230468,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E90NW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
318,HyperX Fury red DDR3-1600 CL10,$89.21 USD,HyperX,HX316C10FRK2/16,740617230475,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E90WS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
319,HyperX Fury red DDR3-1600 CL10,$106.91 USD,HyperX,HX316C10FRK2/8,740617230482,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E92C6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
320,HyperX Fury red DDR3-1866 CL10,$39.95 USD,HyperX,HX318C10FR/4,740617230611,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E8YNE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
321,HyperX Fury red DDR3-1866 CL10,$67.32 USD,HyperX,HX318C10FR/8,740617230628,,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E91H2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
322,HyperX Fury red DDR3-1866 CL10,$103.64 USD,HyperX,HX318C10FRK2/8,740617230642,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00J8E9014?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
323,HyperX Fury red DDR3-1866 CL10,$110.93 USD,HyperX,HX318C10FRK2/16,740617230635,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/dp/B00J8E8ZOC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
324,HyperX Fury black DDR3-1600 CL10,$40.61 USD,HyperX,HX316C10FB/4,740617230390,740617230390.0,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B00J8E8ZWY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
325,HyperX Fury black DDR3-1600 CL10,$46.41 USD,HyperX,HX316C10FBK2/8,740617230420,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E93G6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
326,HyperX Fury black DDR3-1600 CL10,$64.75 USD,HyperX,HX316C10FB/8,740617230406,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E9334?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
327,HyperX Fury black DDR3-1600 CL10,$98.22 USD,HyperX,HX316C10FBK2/16,740617230413,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8XT4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
328,HyperX Fury black DDR3-1866 CL10,$31.58 USD,HyperX,HX318C10FB/4,740617230550,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E8Z06?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
329,HyperX Fury black DDR3-1866 CL10,$55.5 USD,HyperX,HX318C10FBK2/8,740617230581,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00J8E90I2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
330,HyperX Fury black DDR3-1866 CL10,$65.28 USD,HyperX,HX318C10FB/8,740617230567,740617230567.0,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E92I0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
331,HyperX Fury black DDR3-1866 CL10,$97.19 USD,HyperX,HX318C10FBK2/16,740617230574,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/dp/B00J8E8Y5C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
334,HyperX Fury black DDR4-2133 CL14,$44.22 USD,HyperX,HX421C14FB/4,740617241013,,DDR4-2133,4 GB,2133,,1,https://www.amazon.ca/Kingston-HyperX-2133MHz-Non-ECC-HX421C14FB/dp/B00TY6A2Z4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00TY6A2Z4
335,HyperX Fury black DDR4-2133 CL14,$87.53 USD,HyperX,HX421C14FBK4/16,740617240627,,DDR4-2133,16 GB,2133,,4,https://www.amazon.ca/Kingston-HyperX-2133MHz-HX421C14FBK4-16/dp/B00TPQPURI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00TPQPURI
336,HyperX Fury black DDR4-2133 CL14,$132.05 USD,HyperX,HX421C14FB2K2/16,740617256536,,DDR4-2133,16 GB,2133,,2,https://www.amazon.ca/HyperX-2133MHz-PC42133-HX421C14FB2K2-16/dp/B01HI14AZ4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HI14AZ4
342,HyperX Fury white DDR3-1600 CL10,$39.33 USD,HyperX,HX316C10FW/4,740617230499,,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B00J8E8Z42?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
343,HyperX Fury white DDR3-1600 CL10,$46.25 USD,HyperX,HX316C10FW/8,740617230505,,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B00J8E8ZMY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
344,HyperX Fury white DDR3-1600 CL10,$70.17 USD,HyperX,HX316C10FWK2/8,740617230529,,DDR3-1600,8 GB,1600,,2,https://www.amazon.ca/dp/B00J8E92X0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
345,HyperX Fury white DDR3-1600 CL10,$97.53 USD,HyperX,HX316C10FWK2/16,740617230512,,DDR3-1600,16 GB,1600,,2,https://www.amazon.ca/dp/B00J8E8ZA6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
346,HyperX Fury white DDR3-1866 CL10,$28.0 USD,HyperX,HX318C10FW/4,740617230659,,DDR3-1866,4 GB,1866,,1,https://www.amazon.ca/dp/B00J8E9398?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
347,HyperX Fury white DDR3-1866 CL10,$63.69 USD,HyperX,HX318C10FW/8,740617230666,,DDR3-1866,8 GB,1866,,1,https://www.amazon.ca/dp/B00J8E913Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
348,HyperX Fury white DDR3-1866 CL10,$104.43 USD,HyperX,HX318C10FWK2/8,740617230680,,DDR3-1866,8 GB,1866,,2,https://www.amazon.ca/dp/B00J8E91T0?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
352,HyperX Predator DDR4-3000 CL15,$160.34 USD,HyperX,HX430C15PB3K2/32,740617258509,740617258509.0,DDR4-3000,32 GB,3000,,1,https://www.amazon.ca/dp/B01GCWQ6AM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
353,HyperX Predator DDR4-3000 CL15,$196.5 USD,HyperX,HX430C15PB3K4/32,740617258622,,DDR4-3000,32 GB,3000,,4,https://www.amazon.ca/dp/B01GCWQ5M6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
354,HyperX Predator DDR4-3200 CL16,$83.52 USD,HyperX,HX432C16PB3K2/16,740617258462,740617258462.0,DDR4-3200,16 GB,3200,,2,https://www.amazon.ca/dp/B01GCWQ8VO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
360,HyperX Savage red DDR3-1866 CL9,$158.12 USD,HyperX,HX318C9SRK2/16,740617234510,,DDR3-1866,16 GB,1866,,2,https://www.amazon.ca/StarTech-Switch-Switching-Technology-SV231USBDDM/dp/B00NIX4ELC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00NIX4ELC
372,Kingston Fury Beast,$70.99 USD,Kingston,KF548C38BB-16,740617324389,,DDR5-4800,16 GB,4800,38-38-38,1,https://www.amazon.ca/dp/B09KCMKL9Z?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
373,Kingston Fury Beast,$105.9 USD,Kingston,KF548C38BBK2-32,740617324365,,DDR5-4800,32 GB,4800,38-38-38,2,https://www.amazon.ca/dp/B09KCLWW2K?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
374,Kingston Fury Beast Black,$63.09 USD,Kingston,KF552C40BB-16,740617324372,,DDR5-5200,16 GB,5200,40-39-39,1,https://www.amazon.ca/dp/B09KCM59ZK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
375,Kingston Fury Beast Black,$116.05 USD,Kingston,KF552C40BBK2-32,740617324358,,DDR5-5200,32 GB,5200,40-39-39,1,https://www.amazon.ca/dp/B09KCLP63B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
376,Kingston Value DDR3-1600 CL11,$29.01 USD,Kingston,KVR16N11S8/4,740617207774,740617207774.0,DDR3-1600,4 GB,1600,,1,https://www.amazon.ca/dp/B008CP5QR2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
381,Kingston Value DDR4-2400 CL17,$42.7 USD,Kingston,KVR24N17S8/8,740617259643,740617259643.0,DDR4-2400,8 GB,2400,,1,https://www.amazon.ca/dp/B01GCWQGIY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
382,Kingston Value DDR4-2400 CL17,$70.3 USD,Kingston,KVR24N17D8/16,740617259650,740617259650.0,DDR4-2400,16 GB,2400,,1,https://www.amazon.ca/dp/B01GCWQEOK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
383,Kingston Value DDR3-1600 CL11,$51.76 USD,Kingston,KVR16N11/8,740617206937,740617206937.0,DDR3-1600,8 GB,1600,,1,https://www.amazon.ca/dp/B0089JIDLC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1
